Date,close
2026-07-15 21:47:13.185000,64807.19
2026-07-15 23:47:10.011000,64736.85
2026-07-16 00:52:27.248000,64625.73
2026-07-16 01:39:10.610000,64653.44
2026-07-16 06:55:08.438000,64760.09
2026-07-16 08:16:49.268014,63856.56
2026-07-16 08:32:24.052000,64212.34
2026-07-16 15:02:51.507009,64497.47
2026-07-16 15:43:36.368001,64680.56
2026-07-16 17:18:35.550000,64141.83
2026-07-16 17:25:10.408000,64208.83
2026-07-16 17:33:01.487000,64260.63
2026-07-16 23:01:04.473000,63956.13
2026-07-17 00:31:30.438000,63757.0
2026-07-17 01:27:37.466000,63910.17
2026-07-17 02:09:53.514000,63481.78
2026-07-17 08:50:27.695003,62853.72
2026-07-17 12:44:13.516000,63087.95
2026-07-17 14:02:39.421000,63209.11
2026-07-17 14:35:37.025000,63196.96
2026-07-17 15:32:10.634000,63215.1
2026-07-17 17:38:27.283000,64032.8
2026-07-17 18:23:29.790000,63920.99
2026-07-17 21:20:19.036000,64176.71
2026-07-17 22:26:25.080000,64000.0
2026-07-18 01:23:12.996009,63942.8
2026-07-18 03:13:28.993002,63991.88
2026-07-18 17:16:01.543000,64320.0
2026-07-19 00:48:22.069000,64772.75
2026-07-19 15:06:44.070001,64566.12
2026-07-19 18:03:33.343000,64500.0
2026-07-19 18:31:06.949000,64378.4
2026-07-19 19:00:00.038000,64400.41
2026-07-19 21:40:57.002000,64400.0
2026-07-19 22:06:46.713000,64400.0
2026-07-20 01:50:37.435000,64750.0
2026-07-20 06:44:30.598000,63825.96
2026-07-20 11:36:41.019004,64901.8
2026-07-20 11:47:05.800021,64886.15
2026-07-20 13:46:34.982000,64573.99
2026-07-20 16:02:00.230000,65533.0
2026-07-20 17:27:06.253013,65470.28
2026-07-20 19:39:21.327002,65114.73
2026-07-20 20:04:28.011000,65058.0
2026-07-20 21:53:18.706002,65312.73
2026-07-21 00:12:06.973001,65177.02
2026-07-21 00:57:55.004000,65549.99
2026-07-21 05:31:18.145000,65625.14
2026-07-21 06:42:15.177000,65931.3
2026-07-21 09:08:03.377000,66217.88
2026-07-21 11:26:59.566000,66197.45
2026-07-21 12:36:19.962004,66533.5
2026-07-21 13:54:32.797000,66711.01
2026-07-21 16:45:06.928001,66608.74
2026-07-21 16:57:49.007000,66609.2
2026-07-21 17:46:59.758013,66000.0
2026-07-21 18:52:04.460000,66320.28
2026-07-21 22:52:43.017000,66270.48
2026-07-22 00:01:32.803000,66560.01
2026-07-22 05:46:29.500001,65961.46
2026-07-22 11:25:03.542001,66095.59
2026-07-22 13:30:38.752000,65667.19
2026-07-22 15:47:14.698000,66034.6
2026-07-22 17:03:21.499000,66243.34
2026-07-22 22:18:40.708000,66023.09
2026-07-22 23:58:26.126000,66117.76
2026-07-23 01:23:05.998000,65950.49
2026-07-23 12:43:58.948000,65158.64
2026-07-23 14:18:19.735000,65051.17
