,t1,bin,roll_c,roll_sigma_u,parkinson_vol_20bar,corwin_schultz_spread,becker_parkinson_sigma,kyle_lambda,amihud_lambda_20bar,vpin_10bar,round_number_fraction,serial_corr_signed_flow,tick_rule_accuracy,fracdiff,w
2026-07-17 17:38:27.283000,2026-07-19 00:48:22.069000,1.0,135.57201247014035,334.7354122993613,0.00567573941219688,0.0,0.011451821166655603,1.288061440285636,1.3727386892390615e-08,0.3152220070924348,0.0027434842249657062,0.38954916104080556,0.821673525377229,8.474504188689245,4.3584990344939065
2026-07-19 00:48:22.069000,2026-07-20 06:44:30.598000,-1.0,0.0,355.7374736967334,0.004912159769855302,0.0,0.010870669794950239,12.471279008106716,1.126809830986025e-08,0.3788445298298459,0.012302284710017574,0.3771929824561401,0.7820738137082601,8.482625272595932,0.84325617516599
2026-07-20 06:44:30.598000,2026-07-20 11:36:41.019004,1.0,153.35718952290074,257.9092184983557,0.005068947931385689,0.002060499597507869,0.008113277362397753,6.254990488485309,1.0426900548044507e-08,0.37528624902014857,0.006963788300835654,0.3023123549755566,0.8091922005571031,8.466354696378623,0.24493169039596335
2026-07-20 11:36:41.019004,2026-07-21 05:31:18.145000,1.0,282.63858208038397,75.12822306579046,0.005490425920275648,0.01736108857928803,0.00028539985559168993,0.8238346559371519,1.2874282663905396e-08,0.42219118066188127,0.014492753623188406,0.426689780497611,0.6977225672877847,8.484294343449758,2.3380962766363913
2026-07-20 16:02:00.230000,2026-07-21 12:36:19.962004,1.0,316.57240014278653,110.6605131109916,0.006078094614024972,0.0032829891248376273,0.009131349641625923,10.90051731046396,1.4215992617500768e-08,0.3944902001160014,0.014657980456026058,0.40495822699212525,0.7752442996742671,8.49260246750205,2.7698675910374697
2026-07-21 05:31:18.145000,2026-07-21 12:36:19.962004,1.0,320.4034353155241,0.0,0.0059528952370760885,0.004073628329932903,0.001937242685567454,5.819607636901173,1.3936105907104187e-08,0.42235216184913305,0.011787819253438114,0.47613804826941925,0.787819253438114,8.491230197868475,1.2007619482548613
2026-07-21 09:08:03.377000,2026-07-23 12:43:58.948000,-1.0,309.61137764786173,0.0,0.005784107041752156,0.0,0.007632427458171043,5.832635811931116,1.4612330366211222e-08,0.3465338163827834,0.008064516129032258,0.5577134567539346,0.780241935483871,8.499297637982584,0.12225335998546824
2026-07-21 13:54:32.797000,2026-07-22 13:30:38.752000,-1.0,317.9717298157017,0.0,0.00583654022097313,0.0,0.0036452142250650993,2.5634835300529994,1.56149169314922e-08,0.4263539302896466,0.01038961038961039,0.4618656376729287,0.4675324675324675,8.504703816688188,0.5735880835098567
2026-07-21 17:46:59.758013,2026-07-24 00:10:21.806000,-1.0,285.60451569705714,219.42716654136876,0.005802947852394671,0.0004296617350740789,0.0038961555108688716,-5.103039602081766,1.4025061862133157e-08,0.4431809285170346,0.029535864978902954,0.4566532303782436,0.5907172995780591,8.492795770528502,1.098856186905279
2026-07-22 00:01:32.803000,2026-07-23 12:43:58.948000,-1.0,185.5376682518981,207.9662760219926,0.004829903388050446,0.002770387069502373,0.001192081182731594,3.527329422668836,1.201134028087473e-08,0.44052472387084296,0.0,0.8457352266931699,0.9520833333333333,8.501933635799176,0.5197116385329043
