n_groups,k,phi,genuine_cpcv,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,False,4,430,107,224,True,,True,,0.4168415720201449,0.0,0.4168415720201449,0.4168415720201449,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
4,2,3,True,6,430,107,53,True,,True,,0.24307355111925058,0.2846745236734459,-0.05322281340238857,0.5144935172851807,1.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
4,3,3,True,4,430,107,21,False,min_train_size 21 < 30,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
5,1,1,False,5,430,86,250,True,,True,,0.2938676667294842,0.0,0.2938676667294842,0.2938676667294842,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
5,2,4,True,10,430,86,90,True,,True,,0.04214476652847466,0.3799989325191064,-0.3359252502855598,0.4724696614401254,2.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
5,3,6,True,10,430,86,15,False,min_train_size 15 < 30,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
6,1,1,False,6,430,71,280,True,,True,,0.3786457448844247,0.0,0.3786457448844247,0.3786457448844247,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
6,2,5,True,15,430,71,146,True,,True,,0.20538989036508387,0.1514768999958561,-0.010376406034956253,0.3873958632990026,1.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
6,3,10,True,20,430,71,30,True,,True,,0.06951503287168719,0.20001196150696884,-0.19626353262479224,0.3609430795515828,4.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
8,1,1,False,8,430,53,276,True,,True,,0.2429015440668168,0.0,0.2429015440668168,0.2429015440668168,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
8,2,7,True,28,430,53,135,True,,True,,0.1988567892326977,0.16438518608339836,-0.035109173271332145,0.3707523775830427,2.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
8,3,21,True,56,430,53,36,True,,True,,0.11672384880463531,0.25374508429375287,-0.4580681267380586,0.5047207240849775,5.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
10,1,1,False,10,430,43,287,True,,True,,0.3176243185476146,0.0,0.3176243185476146,0.3176243185476146,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
10,2,9,True,45,430,43,155,True,,True,,0.19590635081498142,0.1807046289179257,-0.08071160724264023,0.3948319385171186,2.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
10,3,36,True,120,430,43,63,True,,True,,0.1334034437122209,0.2146689358833138,-0.2731664302181603,0.5864926379736093,9.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
