target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,989,318,317,547,0.10552063312916744,57.71978632165459,0.012152258321691301,0.26406926406926406,0.47625960010487123,0.484658999212764,7.902488951532563,
2000,1958,432,430,1719,0.1147774301951297,197.30240250542795,0.058133244385838265,0.008658008658008658,0.635839435856845,0.09876259192601597,7.254076799884883,
3000,2911,525,523,2309,0.12993199745266015,300.01298211819227,0.055616519436405124,0.012987012987012988,0.7428370663191205,0.8173926286082691,16.895326056418856,
4000,3852,568,562,2955,0.1419910280072896,419.58348776154077,0.04327401187201005,0.004329004329004329,0.6096638396193779,0.5052323913501472,9.34212532841813,
5000,4784,595,586,3800,0.16284871878357318,618.8251313775781,0.04202324000632273,0.049783549783549784,0.7729405933852879,0.4086037075128788,10.657024401210005,
