target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,990,387,385,576,0.0920149857205626,53.000631775044056,0.0258199935046219,0.7489177489177489,0.5312404052614557,0.1121913998043674,4.186255630006388,
2000,1961,564,563,1562,0.0906673111259936,141.62233997880205,0.0366900429769287,0.0183982683982684,0.4997129642194485,0.1416795951902018,7.074276883059299,
3000,2916,688,684,1888,0.1065586292562036,201.1826920357124,0.0217287827726352,0.3603896103896103,0.5518743462169731,-0.1978537876824029,7.725159035676032,
4000,3848,766,757,2944,0.1189248291438035,350.1146969993576,0.0283786130602704,0.1179653679653679,0.58357414512216,-0.0422010802713663,9.075374632513457,
5000,4767,822,815,2075,0.1380665036072761,286.487994985098,0.0106821234411963,0.4729437229437229,0.518137410685505,0.0883968892356575,7.966932528056541,
