target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,984,332,331,943,0.1468463088652289,138.47606925991093,0.0548841432144662,0.5735930735930735,0.7113684034012582,-0.3379259999609147,4.1381143362044055,
2000,1948,447,441,1807,0.1431828122903372,258.7313418086394,0.0340586583871588,0.7835497835497836,0.6842837211281683,-0.1748925163355184,5.025451238902814,
3000,2887,543,532,2509,0.1547795234356555,388.34182430005984,0.0261062877467479,0.685064935064935,0.6803907165081784,-0.1719463106745049,4.947640080646675,
4000,3804,620,604,3404,0.1724250523630678,586.9348782438831,0.0261983305490492,0.7813852813852814,0.7176140785385835,-0.026673282294428,6.472169328569226,
5000,4702,632,615,4121,0.1929808527215143,795.2740940653606,0.0239128753478385,0.6688311688311688,0.7272776441194833,-0.2806329330279935,6.831395216931188,
