target_bars,n_trials,n_events,trial_sharpe_mean,trial_sharpe_std,trial_sharpe_skew,trial_sharpe_kurtosis,trial_sharpe_min,trial_sharpe_max,notes
1000,20,202,0.04812956286994996,0.011619996428871023,-2.0813939091321094,7.342125516975797,0.00924428923532539,0.05962138731437755,
2000,20,238,0.007348354772067049,0.005721695168527901,0.08977360916156037,1.349578430676526,1.4172132196925318e-05,0.015479700704515011,
3000,20,247,0.027142151444997598,0.011682734364851254,-0.46558731033915746,2.6013101820115425,-0.0008792999692159246,0.04201308801551409,
4000,20,258,0.030339686155449998,0.003699812920149122,-0.11429692400758742,2.3247387642004345,0.02288019682008619,0.03639696971273365,
5000,20,265,0.0201144908231203,0.002998850526073456,0.45162261115906527,2.679858421528372,0.014880289700900108,0.026975962290815916,
