target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,985,280,280,567,0.1681295296646833,95.32944331987544,-0.0223087408661141,0.3712121212121212,0.3511196510843724,-0.3359138536523677,4.732821470230137,
2000,1956,375,373,1286,0.1820833607042821,234.15920186570685,-0.0056164801599735,0.5205627705627706,0.425110119465361,-0.0323444092771907,6.55626427374945,
3000,2903,432,423,1611,0.2021869144560688,325.7231191887268,-0.0026455557254777,0.5735930735930735,0.3843937655848758,-0.169312295979017,6.802218857052717,
4000,3833,474,465,1270,0.2168279589092706,275.3715078147737,-0.0025919051725197,0.8679653679653679,0.4518819716916308,-0.1186193551568938,4.850600327009532,
5000,4748,507,493,1531,0.2394044900345547,366.5282742429033,0.0028272363561104,0.6883116883116883,0.4514987832255398,0.0174061668033377,5.022063031850054,
