target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,913,273,273,494,0.09843130801639034,48.62506616009683,0.03758336159493967,0.4004329004329004,0.5721662961890417,-0.07027194218252732,6.286052857122229,
2000,1692,358,356,1026,0.11944139329253099,122.5468695181368,0.0056925459949973,0.7229437229437229,0.5069137104897289,0.12931527995739073,9.482377194596811,
3000,2407,407,397,1036,0.14106598690673294,146.14436243537534,0.0034235677169958596,0.07575757575757576,0.43554618120917543,-0.35506521687628256,9.794140991687408,
4000,3045,445,435,2217,0.15648209756667641,346.9208103053216,0.02483695093728587,0.005411255411255411,0.3820591603515386,0.3705505689648367,15.264547250210475,
5000,3660,457,450,2218,0.16029735377548357,355.53953067402256,0.04356077785439702,0.0,0.551715772462506,0.32023740485140256,11.486736916270132,
