n_groups,k,phi,genuine_cpcv,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,False,4,523,130,305,True,,True,,0.4777652430464943,0.0,0.4777652430464943,0.4777652430464943,0.0,10.0,
4,2,3,True,6,523,130,111,True,,True,,0.29913150157534535,0.07267762147483157,0.21615205954208333,0.3514769037371316,0.0,10.0,
4,3,3,True,4,523,130,50,True,,True,,-0.059896977215619956,0.21331058510845585,-0.18816959561978622,0.18634097186133128,2.0,10.0,
5,1,1,False,5,523,104,308,True,,True,,0.47147730839007146,0.0,0.47147730839007146,0.47147730839007146,0.0,10.0,
5,2,4,True,10,523,104,118,True,,True,,0.25949289439989776,0.11908901319685028,0.1182510341126072,0.40506840102272346,0.0,10.0,
5,3,6,True,10,523,104,20,False,min_train_size 20 < 30,False,,,,,,,10.0,
6,1,1,False,6,523,87,352,True,,True,,0.49088436355946224,0.0,0.49088436355946224,0.49088436355946224,0.0,10.0,
6,2,5,True,15,523,87,188,True,,True,,0.389966857248489,0.10864981681559009,0.2645541595255715,0.5281146760351365,0.0,10.0,
6,3,10,True,20,523,87,46,True,,True,,0.22945153622083278,0.2053097856615746,-0.13651784162517175,0.41478296391175495,2.0,10.0,
8,1,1,False,8,523,65,372,True,,True,,0.4338460553516792,0.0,0.4338460553516792,0.4338460553516792,0.0,10.0,
8,2,7,True,28,523,65,222,True,,True,,0.3528302269862791,0.08948457793013982,0.23621244048857112,0.4825388735638315,0.0,10.0,
8,3,21,True,56,523,65,94,True,,True,,0.2714029911662826,0.11414472364282119,0.051437509785471125,0.46592733775552975,0.0,10.0,
10,1,1,False,10,523,52,355,True,,True,,0.47200265426862176,0.0,0.47200265426862176,0.47200265426862176,0.0,10.0,
10,2,9,True,45,523,52,214,True,,True,,0.37801451576872247,0.07146036329671716,0.2898522037768037,0.5175664988307196,0.0,10.0,
10,3,36,True,120,523,52,93,True,,True,,0.2527381285431085,0.16030963376654642,-0.12979904491757993,0.4933099547455161,4.0,10.0,
