n_groups,k,phi,genuine_cpcv,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,False,4,586,146,335,True,,True,,0.28155361867431045,0.0,0.28155361867431045,0.28155361867431045,0,10.0,
4,2,3,True,6,586,146,117,True,,True,,0.22813221805962655,0.05543391375086332,0.16860548899615885,0.2782756019483565,0,10.0,
4,3,3,True,4,586,146,47,True,,True,,0.03180948982570882,0.15100383751318716,-0.14176603331676801,0.13294341004902727,1,10.0,
5,1,1,False,5,586,117,365,True,,True,,0.2893818234415032,0.0,0.2893818234415032,0.2893818234415032,0,10.0,
5,2,4,True,10,586,117,166,True,,True,,0.20887365943794894,0.10893940522200712,0.08708000865890507,0.333285175895884,0,10.0,
5,3,6,True,10,586,117,52,True,,True,,0.055652349377469566,0.19929110977784403,-0.23226674027631938,0.3076561552535384,2,10.0,
6,1,1,False,6,586,97,395,True,,True,,0.2227561973412799,0.0,0.2227561973412799,0.2227561973412799,0,10.0,
6,2,5,True,15,586,97,205,True,,True,,0.20376553791307286,0.06237966104725971,0.13020313783968696,0.3026925232423911,0,10.0,
6,3,10,True,20,586,97,43,True,,True,,0.19855420960179512,0.06490360613094978,0.10189050783540159,0.27092389386549537,0,10.0,
8,1,1,False,8,586,73,409,True,,True,,0.2654474415681607,0.0,0.2654474415681607,0.2654474415681607,0,10.0,
8,2,7,True,28,586,73,252,True,,True,,0.2517596340322386,0.07317819387024438,0.1890346084021087,0.4118320934586454,0,10.0,
8,3,21,True,56,586,73,108,True,,True,,0.23236037169838888,0.07996216348144838,0.11975122926359907,0.4115700662869507,0,10.0,
10,1,1,False,10,586,58,417,True,,True,,0.28440516755390977,0.0,0.28440516755390977,0.28440516755390977,0,10.0,
10,2,9,True,45,586,58,264,True,,True,,0.27182642924765765,0.04969199641544802,0.2043274486711947,0.3618195546054537,0,10.0,
10,3,36,True,120,586,58,120,True,,True,,0.23591807053115887,0.07940438347137509,0.009908546710319325,0.3851029800377691,0,10.0,
