target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,984,309,305,914,0.1227310685381386,112.17619664385872,0.016564984335439,0.0562770562770562,0.4936894078582056,0.2569178295854336,8.256104398465588,
2000,1938,416,410,1633,0.1274392469877731,208.1082903310336,0.0384010703356418,0.4642857142857143,0.6786073280667159,0.2204375317064543,6.47597035916862,
3000,2867,461,454,2018,0.1462225495229054,295.07710493722306,0.0202869984710587,0.4989177489177489,0.5910435687235209,-0.0423048176674525,7.694933084055197,
4000,3784,501,490,2897,0.1510902898120151,437.70856958540793,0.0200851782191783,0.3658008658008658,0.6115561670531604,0.0724166981174564,6.792888408759604,
5000,4669,516,506,2631,0.1672662045679831,440.0773842183637,0.0352751467663049,0.0367965367965368,0.6815996508377641,0.1717856020499988,7.070661582059206,
