n_groups,k,phi,genuine_cpcv,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,False,4,430,107,224,True,,True,,0.39532404412843763,0.0,0.39532404412843763,0.39532404412843763,0.0,10.0,
4,2,3,True,6,430,107,53,True,,True,,0.28204035764575713,0.18696701363005086,0.12094300015818463,0.48705748718584185,0.0,10.0,
4,3,3,True,4,430,107,21,False,min_train_size 21 < 30,False,,,,,,,10.0,
5,1,1,False,5,430,86,250,True,,True,,0.34586765220102267,0.0,0.34586765220102267,0.34586765220102267,0.0,10.0,
5,2,4,True,10,430,86,90,True,,True,,0.1338783329423689,0.2920751955639395,-0.1774213467949752,0.47513797718152734,2.0,10.0,
5,3,6,True,10,430,86,15,False,min_train_size 15 < 30,False,,,,,,,10.0,
6,1,1,False,6,430,71,280,True,,True,,0.4997991493767459,0.0,0.4997991493767459,0.4997991493767459,0.0,10.0,
6,2,5,True,15,430,71,146,True,,True,,0.3241838406325425,0.10467018730134396,0.2021358798657602,0.4568599499272029,0.0,10.0,
6,3,10,True,20,430,71,30,True,,True,,0.14172705317510276,0.21247979639781955,-0.1661531647626091,0.3561287468080534,4.0,10.0,
8,1,1,False,8,430,53,276,True,,True,,0.3278515697963002,0.0,0.3278515697963002,0.3278515697963002,0.0,10.0,
8,2,7,True,28,430,53,135,True,,True,,0.27478005927824334,0.11824846302517963,0.08507340580077173,0.4332840473353153,0.0,10.0,
8,3,21,True,56,430,53,36,True,,True,,0.20459261822563968,0.15285379014505387,-0.08745606725111467,0.48527605491297654,3.0,10.0,
10,1,1,False,10,430,43,287,True,,True,,0.39776840141492614,0.0,0.39776840141492614,0.39776840141492614,0.0,10.0,
10,2,9,True,45,430,43,155,True,,True,,0.32027750282786377,0.13710067838027826,0.09365839347161876,0.5408518713330084,0.0,10.0,
10,3,36,True,120,430,43,63,True,,True,,0.19783635463293422,0.18023046026027925,-0.2621555700672525,0.5294465643473956,4.0,10.0,
