target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,987,202,202,900,0.1500736240375235,135.06626163377115,0.05962138731437755,0.8863636363636364,0.6700867358254199,0.5480099206396469,9.596160855998122,
2000,1954,240,238,1129,0.1831112590211762,206.73261143490794,0.015479700704515011,0.7727272727272727,0.5263831572913641,0.29799992509757617,8.480528560336577,
3000,2896,250,247,1423,0.22500400899330655,320.18070479747524,0.04201308801551409,0.3106060606060606,0.6394599203282888,0.495805899429058,8.518696888003513,
4000,3825,260,258,2228,0.25597992419537274,570.3232711072905,0.03639696971273365,0.7727272727272727,0.759167924560062,0.29565184314862314,8.037923025311567,
5000,4728,268,265,2360,0.2827797190545293,667.3601369686892,0.026975962290815916,0.6244588744588745,0.7089945125898447,0.2133555581102237,8.069777147255568,
