target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,990,443,436,905,0.1012106583795956,91.59564583353402,0.0640007281267274,0.3257575757575757,0.6859007064535594,-0.4654869481598216,8.413668602041515,
2000,1960,706,696,1787,0.0959210860912525,171.41098084506834,0.0420123206416064,0.4372294372294372,0.6694689556627461,0.0285453583726054,5.05889082287208,
3000,2916,896,880,2616,0.0964779382419858,252.38628644103505,0.030675715548574,0.8268398268398268,0.646350180735962,-0.0079938059041752,5.347132815959279,
4000,3860,1022,1007,3097,0.1057956005484513,327.6489748985537,0.0274996354512072,0.6893939393939394,0.6643884889625302,-0.1054522179344075,6.080892188174256,
5000,4784,1118,1094,3864,0.1189120249673032,459.4760644736599,0.0259425086932001,0.6028138528138528,0.6669459944949941,-0.2047876270293141,6.850127592432596,
