,t1,bin,roll_c,roll_sigma_u,parkinson_vol_20bar,corwin_schultz_spread,becker_parkinson_sigma,kyle_lambda,amihud_lambda_20bar,vpin_10bar,round_number_fraction,serial_corr_signed_flow,tick_rule_accuracy,fracdiff,w
2026-07-24 03:39:11.346006,2026-07-24 13:53:49.338000,-1.0,96.84485529482666,153.78725304203954,0.0031764660115869733,0.0028030792143461177,0.0029177397745174163,30.599487921305965,2.3884271764198086e-08,0.6868724442808993,0.03272727272727273,0.31372235544897387,0.6945454545454546,1.418537423547198,0.37693805669035674
2026-07-24 11:02:47.191000,2026-07-24 13:53:49.338000,-1.0,95.81627277431765,141.34376888360683,0.003329433955599726,0.0,0.0036453110985124413,5.007788314983122,2.13261565649861e-08,0.6286812630354564,0.0330188679245283,0.5328936870585973,0.6698113207547169,1.4081305048282164,3.4718570766781585
2026-07-24 13:53:49.338000,2026-07-25 19:07:41.197000,1.0,0.0,316.926300784961,0.004028208354550158,0.0,0.013505130467922392,20.169306634170034,2.7311026866259947e-08,0.5640607098146944,0.019891500904159132,0.4751593464936584,0.7902350813743219,1.3966416233148244,1.584233177310256
2026-07-24 15:29:06.904000,2026-07-26 15:08:01.351000,1.0,0.0,341.6146822714028,0.0037480326442483245,0.00012128684321624919,0.002759258855767161,2.9103319515641863,2.5479548694444034e-08,0.6106572173311466,0.035398230088495575,0.6051282051282051,0.5752212389380531,1.4140489944336654,1.751811355278178
2026-07-25 09:09:12.995006,2026-07-25 13:51:58.833000,1.0,0.0,329.98969991629684,0.0032925089676073306,0.0,0.0035455613162312,6.916897565432985,1.643219831444796e-08,0.622561311525237,0.02608695652173913,0.6137298907994237,0.4,1.4083007806396068,0.4154095261710867
2026-07-25 13:51:58.833000,2026-07-26 15:08:01.351000,1.0,0.0,119.58912570310326,0.0018347110509792156,0.0,0.0014591314871182774,1.2692427556388068,9.138715827462089e-09,0.6401443731638589,0.0,0.5419157614838029,0.9158878504672897,1.4146773701144095,1.3526950301657943
2026-07-26 15:08:01.351000,2026-07-26 23:01:29.335000,1.0,44.7419435297434,116.8430139262189,0.0016718378860491735,0.002342220890542392,0.002102476595037199,41.4417527809039,1.0968616208312332e-08,0.6401145741427409,0.010080645161290322,0.5469403765690375,0.5866935483870968,1.4177387445532332,3.5964631562421037
2026-07-26 22:02:37.893000,2026-07-27 22:40:41.801001,-1.0,63.41087124082602,94.27841945457888,0.001939555599078753,0.000906158036471204,0.0035968930049916376,54.09837400063282,1.3960908526085153e-08,0.7126836187012509,0.008710801393728223,0.44567852856897977,0.7456445993031359,1.4186314591483686,0.520771493142677
2026-07-27 00:19:34.085001,2026-07-27 22:40:41.801001,-1.0,15.997105430793265,162.0463725211122,0.002239967033351221,0.0001699693485074134,0.0028045269505457887,13.039934075552365,1.7767812456082002e-08,0.6368628355062836,0.005988023952095809,0.3134550144405919,0.7305389221556886,1.4107310775392055,2.4704733338377105
2026-07-27 14:31:55.898000,2026-07-27 23:07:51.136000,-1.0,0.0,224.18461418787672,0.0036879617723963665,0.005091933307125014,0.005227979816247553,44.445570746229905,2.2790915436544904e-08,0.6124798868708763,0.010230179028132993,0.342188488298545,0.7800511508951407,1.4066272058119207,2.428983854988116
