config,target_bars,cusum_h,vertical_barrier_num_days,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,notes
target_bars_1000_today,1000,500,3,857,103,102,536,0.34115297509023207,182.85799464836438,0.0075566284594599025,0.7294372294372294,0.5028953935452053,
combined_tb1000_h313,1000,313,3,857,176,176,704,0.2066997220702479,145.5166043374545,0.037941173928630105,0.32792207792207795,0.601244034309314,
