fold,n_train,n_test,train_majority_class,train_majority_pct,test_majority_class,test_majority_pct,trivial_baseline_accuracy
1,480,192,-1.0,0.5958333333333333,-1.0,0.5520833333333334,0.5520833333333334
2,466,192,-1.0,0.6008583690987125,1.0,0.5729166666666666,0.4270833333333333
3,457,191,-1.0,0.5514223194748359,-1.0,0.6387434554973822,0.6387434554973822
4,556,191,-1.0,0.5251798561151079,-1.0,0.6544502617801047,0.6544502617801047
