config,target_bars,cusum_h,vertical_barrier_num_days,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,notes
baseline,250,500,3,241,61,56,199,0.31224968457279795,62.13768722998679,0.23559295989184564,0.5952380952380952,0.9616859595105304,
cusum_h_313_staleness_corrected,250,313,3,241,97,89,200,0.20235569695807934,40.47113939161587,0.13390916821453414,0.7175324675324676,0.7370343993463135,
cusum_h_375_bracket,250,375,3,241,84,78,192,0.23496947380589267,45.11413897073139,0.1524078318174013,0.09740259740259741,0.7710808121668062,
