run_date,constant,value,n_events_after,fracdiff_d,T_raw,tw_mean,T_effective,dsr,pbo,skew,kurtosis,notes
2026-08-18,baseline,default,40,0.1,134,0.3740750588007088,50.126057879294976,0.5307524122935596,0.15714285714285714,0.7347489498305935,6.880476222030677,
2026-08-18,S,4,40,0.1,134,0.3740750588007088,50.126057879294976,0.5307524122935596,0.3333333333333333,0.7347489498305935,6.880476222030677,
2026-08-18,S,8,40,0.1,134,0.3740750588007088,50.126057879294976,0.5307524122935596,0.15714285714285714,0.7347489498305935,6.880476222030677,"same run as baseline row, logged separately for S comparison"
2026-08-18,ROLL_WINDOW,10,41,0.1,57,0.3836504638706102,21.86807644062478,0.46633766359949763,0.5,0.05182957725403734,3.133614870947904,
2026-08-18,ROLL_WINDOW,40,38,0.1,112,0.3602105882112725,40.34358587966252,0.6274232642313816,0.7428571428571429,0.2094841980371515,2.989304363942925,
2026-08-18,VPIN_WINDOW,5,40,0.1,166,0.3740750588007088,62.09645976091766,0.525353459925151,0.7571428571428571,2.081930246806725,14.743860028912811,
2026-08-18,VPIN_WINDOW,20,40,0.1,131,0.3740750588007088,49.00383270289285,0.5190968312514381,0.5142857142857142,1.2346414588266863,10.392884263945293,
2026-08-18,FFD_THRES,1e-05,,,,,,,,,,FAILED: zero-size array to reduction operation maximum which has no identity
2026-08-18,FFD_THRES,0.05,40,0.2,125,0.3740750588007088,46.7593823500886,0.5366337530762278,0.2,0.7058306705891596,6.493720587745914,
