T_label,T_effective,z,annual_sharpe_equiv,n_reps,mean_dsr,mean_pbo,mean_conf,std_conf,null95,power_null95,frac_exposed@0.5363,mean_exposure@0.5363,frac_exposed@0.7235,mean_exposure@0.7235,mean_exposure@null95
single_window_tb2000,197.3,0.0,0.0,300,0.4905719157967912,0.5153823953823953,0.25653032249326346,0.17013191510664574,0.5988208636882573,0.05,0.08666666666666667,0.018337061139938667,0.01,0.0023839504680320117,0.010515840457172656
single_window_tb2000,197.3,1.0,10.988532473443344,300,0.5283037838985998,0.47813131313131313,0.29201605580300966,0.17093502292044307,0.5988208636882573,0.07,0.09666666666666666,0.022688975721728656,0.013333333333333334,0.0010345239751612689,0.013703474258894576
single_window_tb2000,197.3,2.0,21.97706494688669,300,0.6060438802186362,0.37213203463203454,0.40497834671467114,0.22261132972182307,0.5988208636882573,0.21,0.26666666666666666,0.09690504764581569,0.09333333333333334,0.04014987271119827,0.07488597811297149
single_window_tb2000,197.3,3.0,32.96559742033003,300,0.7518456071154168,0.22507575757575757,0.6070660303292628,0.24546797977841966,0.5988208636882573,0.5433333333333333,0.6266666666666667,0.31336303640672586,0.37333333333333335,0.18462149606429848,0.2710353054344407
single_window_tb2000,197.3,4.0,43.95412989377338,300,0.900674062028531,0.09040764790764788,0.8299861053969889,0.17874477848133732,0.5988208636882573,0.8833333333333333,0.91,0.6610509719321006,0.7966666666666666,0.5230180482808193,0.624624222484548
single_window_tb2000,197.3,5.0,54.94266236721672,300,0.9610308346786498,0.0393398268398268,0.9260080999688481,0.09778950035219451,0.5988208636882573,0.9766666666666667,0.9866666666666667,0.8433868988374762,0.96,0.7542536362330113,0.8215234830517181
single_window_tb2000,197.3,6.0,65.93119484066005,300,0.9883030344973988,0.010458152958152934,0.9783302065555864,0.04047024528661022,0.5988208636882573,1.0,1.0,0.9532676440707061,1.0,0.9216282334740917,0.9459847447610665
pooled_8window_tb40000,4004.48,0.0,0.0,300,0.5080403102986153,0.4888888888888889,0.27531443916014814,0.15406531282713393,0.552694346798049,0.05,0.06,0.007438990869459496,0.0,0.0,0.005720893468123875
pooled_8window_tb40000,4004.48,1.0,3.793111951673549,300,0.5209437306000717,0.4669372294372295,0.2970308040527791,0.1799348400053206,0.552694346798049,0.09,0.10333333333333333,0.028254036125729368,0.02,0.0039686698678240255,0.025794613281965268
pooled_8window_tb40000,4004.48,2.0,7.586223903347098,300,0.6020171728537791,0.3747871572871573,0.39876153695784405,0.21400029188147332,0.552694346798049,0.22666666666666666,0.25333333333333335,0.08081245699263032,0.08,0.031159652591720283,0.07502108504859716
pooled_8window_tb40000,4004.48,3.0,11.379335855020647,300,0.7392352481416733,0.23067460317460312,0.5940208409354865,0.24713451182755355,0.552694346798049,0.5733333333333334,0.59,0.2953686434150776,0.3466666666666667,0.17645048268467767,0.2849739196217506
pooled_8window_tb40000,4004.48,4.0,15.172447806694196,300,0.8826686881950468,0.09877344877344872,0.8076953166371612,0.18633353383711365,0.552694346798049,0.8933333333333333,0.8933333333333333,0.6191492411383065,0.7633333333333333,0.4709384775005989,0.6091000296835072
pooled_8window_tb40000,4004.48,5.0,18.965559758367746,300,0.9599659842733562,0.03921356421356417,0.9253918190574894,0.10457307337102942,0.552694346798049,0.99,0.99,0.8421543113855335,0.9366666666666666,0.7537996440266475,0.8367355703649556
pooled_8window_tb40000,4004.48,6.0,22.758671710041295,300,0.9904084474043341,0.009534632034632012,0.9812759307384731,0.037031711397287635,0.552694346798049,1.0,1.0,0.959620294885644,1.0,0.932281847155418,0.9581403250160281
pooled_x4,16017.92,0.0,0.0,300,0.48109015758616863,0.5031709956709957,0.2569432385770231,0.17033790113964908,0.6116149775952514,0.05,0.07,0.020580534552565456,0.02,0.0036464459143177633,0.012784187702208245
pooled_x4,16017.92,1.0,1.8965559758367745,300,0.53353790650856,0.46292568542568535,0.30319049058298236,0.17452231025155204,0.6116149775952514,0.06666666666666667,0.12666666666666668,0.025404817734099385,0.013333333333333334,0.0027317440235161954,0.01268589625331819
pooled_x4,16017.92,2.0,3.793111951673549,300,0.6052974202540045,0.38200577200577196,0.3984691135842987,0.22314881121667565,0.6116149775952514,0.20333333333333334,0.2733333333333333,0.09475729228204878,0.1,0.03536878462832681,0.06724668677397783
pooled_x4,16017.92,3.0,5.689667927510324,300,0.750389108811496,0.22908008658008655,0.5986506135157814,0.22982515825771482,0.6116149775952514,0.5266666666666666,0.6033333333333334,0.2900274780520419,0.35,0.14810010062142268,0.23493215167204576
pooled_x4,16017.92,4.0,7.586223903347098,300,0.8760384690242708,0.11064935064935061,0.7909870326416784,0.19198275763835473,0.6116149775952514,0.84,0.88,0.5890381885089326,0.7266666666666667,0.4311465976949601,0.5362826119807163
pooled_x4,16017.92,5.0,9.482779879183873,300,0.9546584170146313,0.040981240981240945,0.9198588843263322,0.12086864245996906,0.6116149775952514,0.9566666666666667,0.9766666666666667,0.8326077212341657,0.9133333333333333,0.7517581037329953,0.8073618717349351
pooled_x4,16017.92,6.0,11.379335855020647,300,0.9907021008795501,0.010927128427128405,0.9804056756061955,0.047137796866616864,0.6116149775952514,0.9966666666666667,1.0,0.9577435316070643,0.9933333333333333,0.930879898785981,0.9497431640819763
