config,target_bars,cusum_h,vertical_barrier_num_days,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,notes
target_bars_500_today,500,500,3,467,78,76,416,0.31501835407708895,131.047635296069,0.08302454041266707,0.2846320346320346,0.7732607900115462,
combined_tb500_h313,500,313,3,467,128,124,419,0.20899939295658904,87.5707456488108,0.12190135836012111,0.2824675324675325,0.8316431642630768,
