test_window,winner_C,winner_step,winner_avg_selection_sharpe,test_sharpe,n_test_bars,n_test_active_bars,wall_clock_sec
1,1.0,0.1,0.03351929451465852,0.029443522314747818,986,564,100.45630955696106
2,1.0,0.01,0.023339419420557957,0.035496073030345715,986,905,104.09329605102539
3,1.0,0.02,0.030746644301423008,0.028243904484477875,984,892,100.83284425735474
4,1.0,0.2,0.02796965225072322,-0.04484686275094566,983,311,99.50665783882141
5,1.0,0.2,0.023637436646116308,0.00043667552871498984,983,491,100.3760576248169
6,1.0,0.1,0.010453763213536218,0.07754705995112311,987,639,100.98303508758545
7,1.0,0.05,0.022057684447273428,0.00593976765858336,989,797,101.37210440635681
8,1.0,0.01,0.01440955669773888,0.04878942269653321,989,856,100.268718957901
