dsr,pbo,source,confidence
0.4762596001048712,0.264069264069264,kraken_target_bars_calibration_window1.csv,0.35049407799925586
0.635839435856845,0.0086580086580086,kraken_target_bars_calibration_window1.csv,0.6303343325160932
0.7428370663191205,0.0129870129870129,kraken_target_bars_calibration_window1.csv,0.7331898316915996
0.6096638396193779,0.0043290043290043,kraken_target_bars_calibration_window1.csv,0.6070246022184282
0.7729405933852879,0.0497835497835497,kraken_target_bars_calibration_window1.csv,0.734460866874765
0.6700867358254199,0.8863636363636364,kraken_target_bars_calibration_window2.csv,0.07614621998016136
0.5263831572913641,0.7727272727272727,kraken_target_bars_calibration_window2.csv,0.1196325357480373
0.6394599203282888,0.3106060606060606,kraken_target_bars_calibration_window2.csv,0.4408397935596537
0.759167924560062,0.7727272727272727,kraken_target_bars_calibration_window2.csv,0.17253816467274138
0.7089945125898447,0.6244588744588745,kraken_target_bars_calibration_window2.csv,0.26625659726047196
0.3511196510843724,0.3712121212121212,kraken_target_bars_calibration_window3.csv,0.22077978060608264
0.425110119465361,0.5205627705627706,kraken_target_bars_calibration_window3.csv,0.20381361788220229
0.3843937655848758,0.5735930735930735,kraken_target_bars_calibration_window3.csv,0.16390816411303147
0.4518819716916308,0.8679653679653679,kraken_target_bars_calibration_window3.csv,0.059664069855388496
0.4514987832255398,0.6883116883116883,kraken_target_bars_calibration_window3.csv,0.14072689347289552
0.5721662961890417,0.4004329004329004,kraken_target_bars_calibration_binance.csv,0.34305208667611375
0.5069137104897289,0.7229437229437229,kraken_target_bars_calibration_binance.csv,0.14044362541706776
0.4355461812091754,0.0757575757575757,kraken_target_bars_calibration_binance.csv,0.4025502583902985
0.3820591603515386,0.0054112554112554,kraken_target_bars_calibration_binance.csv,0.3799917406526666
0.551715772462506,0.0,kraken_target_bars_calibration_binance.csv,0.551715772462506
0.4664739814862039,0.8658008658008658,kraken_target_bars_calibration_pooled.csv,0.06260040444187152
0.4930669959630343,0.3409090909090909,kraken_target_bars_calibration_pooled.csv,0.32497597461199995
0.45214537165052,0.79004329004329,kraken_target_bars_calibration_pooled.csv,0.09493095465389707
0.4783571866721215,0.4978354978354978,kraken_target_bars_calibration_pooled.csv,0.24021399850201777
0.5109655581796958,0.4512987012987013,kraken_target_bars_calibration_pooled.csv,0.2803674653648331
