roll,t_stat,t_p_value,n_active,mean_pnl
1,-0.9730601922606903,0.3305607041341525,6308,-8.251240564194957e-06
2,0.2508100201247097,0.8019699061462395,5783,2.707189095408921e-06
3,0.48002644456586335,0.6312269701499846,5713,5.15898966782954e-06
4,-0.4654013644271842,0.6416668778045014,4442,-4.945904192036955e-06
5,-1.2957316904072502,0.19512531868946237,5213,-1.1416013067067663e-05
6,1.1784486329571997,0.23867690482848758,4745,1.3854013498157847e-05
7,0.8439105553007007,0.3987609765135187,4855,9.510090690643682e-06
8,-1.4922576736185944,0.1356951943460134,4962,-1.5752941633464315e-05
9,0.7256273879723926,0.4681011669916253,5004,7.567820560599745e-06
10,0.5217865810524495,0.6018396216017061,5587,5.36182613101907e-06
11,-1.053158363539564,0.29232069905129276,4868,-1.083045147890874e-05
12,-0.7924044153144864,0.42817275923107445,3929,-9.26487794483667e-06
13,0.998586208880902,0.3180375950463086,5698,1.1424334461324358e-05
14,-2.6636896748449255,0.007752251920320141,5304,-2.8570174359988666e-05
15,-0.19210636928876695,0.84766728335044,4646,-2.269166955129545e-06
16,-0.36071762073225905,0.718325080134439,5245,-4.491695791643722e-06
17,-1.4247371323497031,0.15428767164993573,5730,-1.2351476495130134e-05
18,-1.2203909451364139,0.22236544883940645,5905,-9.74848875153819e-06
19,0.10753625058916355,0.9143678871139034,4996,8.858788888980435e-07
20,-0.4863563381156429,0.6267416809398307,3928,-5.742018326901055e-06
21,-0.2421335908318838,0.8086876844930457,4501,-2.8489118105290447e-06
22,0.6826478721608561,0.4948598732178491,5186,5.168148734808793e-06
23,-0.2038130287216608,0.8385087883535844,4520,-2.3808998247727564e-06
24,-0.09510034335409588,0.9242388052545405,5179,-1.1644493631970976e-06
25,0.846377168411354,0.3973866967031303,4570,9.27454137447122e-06
26,-1.2410642261197604,0.21464868597086761,4368,-1.4330619091372095e-05
27,-0.9584957965335286,0.3378545616190043,5551,-9.479483617843407e-06
28,-0.5816685136218396,0.5608128894340174,5725,-4.863990447981546e-06
29,1.2416042767833266,0.21444164632788332,4933,1.4143447886505537e-05
30,-0.07505934537049244,0.9401712646225857,3983,-9.263581809938643e-07
31,1.1360534279403163,0.2559855225659764,5306,1.2633522770689623e-05
32,1.1749130315482172,0.24009584813207185,4218,1.181553775578793e-05
33,0.15817140140478383,0.8743274980626756,5546,1.4237631129559568e-06
34,-1.1983556554139707,0.23083527167776463,5011,-1.192181154690192e-05
35,0.1082316283510221,0.9138179316601847,3635,1.1431115194562952e-06
36,-0.7001984331995358,0.48383635658119406,4942,-6.203717398567748e-06
37,-0.2213670834347728,0.8248137101695558,6376,-2.1497242834799573e-06
38,-0.16022746044217148,0.8727071770385548,6132,-1.6197318449979099e-06
39,-0.7038498716366582,0.48156273828777474,4495,-6.696296715590603e-06
40,0.08379768291818449,0.9332203544655131,5475,8.469328822628527e-07
41,0.18068093404367327,0.8566244687247186,5683,1.7897332795987211e-06
42,0.18579653794853412,0.8526106349003904,5968,1.8583963829045646e-06
43,0.36339206499147475,0.716327987948294,4814,3.637093106886366e-06
44,-0.703116812735438,0.4820152459661631,5070,-4.864817694931363e-06
45,-1.2462772949269416,0.21272675712736433,4552,-1.1450242088111851e-05
46,-0.2487722630408834,0.8035457770452914,5787,-2.7048320102128744e-06
47,0.49432489353136033,0.6210958977546119,5671,4.8731260838390825e-06
48,-1.493031278492203,0.1354888963972194,5268,-1.4575102493996214e-05
49,0.17327987302125866,0.8624387680898873,4789,2.19504838311308e-06
50,-0.6372334321113904,0.5240073395166838,4225,-7.096660092271673e-06
51,-0.06286819245153297,0.9498735583063602,5999,-5.66993765810347e-07
52,0.8428266065812945,0.3993737523175247,4172,7.106241315554539e-06
53,-0.7204559973525605,0.4712722838580259,6015,-7.448107770947428e-06
54,2.898506139031648,0.0037620812513980972,6455,2.859404039053424e-05
55,1.4090521574775738,0.15889479485800329,4144,1.678291547620879e-05
56,0.10485016223535297,0.9164993130364718,4565,1.2034716322787664e-06
57,-0.5477016761342428,0.5839277306501982,3948,-6.148340040574342e-06
58,-0.7839051645205743,0.433131859476219,5144,-9.325801529518531e-06
59,-1.6442769492025204,0.1001891088707616,4485,-1.950379095794797e-05
60,-1.3261363994578856,0.1848453048493348,5965,-9.92282107902117e-06
61,-0.04337053233402099,0.9654076822698512,5717,-3.98575035122469e-07
62,-1.1522182780446204,0.24928447898084438,5189,-9.44195793994414e-06
63,-0.09965756260706111,0.9206198643304173,5442,-1.1929331994469048e-06
64,-0.6541845555266829,0.513030879835819,3963,-5.978056933575039e-06
65,-1.2345610339737947,0.21707512658661088,3573,-1.7218854848730563e-05
66,-0.9363150882810526,0.349149552836566,5863,-8.908094478201014e-06
67,-0.3926418924643354,0.6946024025055091,4547,-3.851971283715385e-06
68,0.5701022117636965,0.5686316572662282,5502,4.587775858463142e-06
69,0.5233693209164652,0.600740402627165,5014,5.905889209323566e-06
70,1.8981786181800901,0.05772264602003685,5744,2.1058447427994693e-05
71,0.6531822588506305,0.5136639313143174,5973,6.785806126955713e-06
72,-0.7313042348813716,0.4646293496601863,4760,-7.884470254451372e-06
73,-0.14177980687062575,0.8872583986652915,6399,-8.609695529011787e-07
74,1.3735092423076427,0.16965179281134812,5337,9.370484717838944e-06
75,-1.8696739845442412,0.061580090490594985,5728,-2.0285756083034167e-05
76,-0.10419027330002117,0.9170229207948037,4575,-9.377133477696958e-07
77,-0.8111464402586447,0.41731889000524625,5175,-6.201387350301788e-06
78,0.025720493499082744,0.9794810879318803,6336,1.502797681929367e-07
79,-1.2143805131584948,0.22466769776177875,4396,-1.4488842591282227e-05
80,-0.2728563169807788,0.784975885461475,4612,-2.703125294437172e-06
81,-1.2701900907265944,0.2040814080444242,4584,-1.6500135617648958e-05
82,-0.9926025271004354,0.320948332744611,5381,-8.608033293861906e-06
83,0.6028947453647474,0.5466049937647262,5203,7.432100989336299e-06
84,0.44036831288947714,0.6596911937781389,4572,6.0568644857506315e-06
85,-1.4170296884044074,0.15653765501156158,4914,-1.686303804398112e-05
86,0.24755197205186924,0.8044913172860726,4963,2.9708964140048075e-06
87,-0.4796723774699646,0.6314840414493288,4433,-4.6054192917680825e-06
88,-2.827985781205569,0.00470724375122189,4043,-3.43009809478059e-05
89,1.2353365537736418,0.21678644958862203,3576,1.6679275464567986e-05
90,1.3438690738911971,0.17904830804591665,5296,1.663731242237713e-05
91,0.9436215381035563,0.34540679485381,5216,5.884356795450875e-06
92,-0.706571268842788,0.47986429315057144,5253,-6.908852575095851e-06
93,0.33611618415209954,0.7367982300044813,4710,3.235112491816262e-06
94,1.1041895459842004,0.26956765509470615,4684,1.067093676574137e-05
95,-0.8362919806709055,0.40302798541685925,5355,-1.0127768726428094e-05
96,0.5860068167068112,0.557894597162115,5590,6.612667470483164e-06
97,0.24901497903055714,0.8033584373913174,5534,1.5541352608260935e-06
98,0.07016962168717886,0.9440610449825322,5867,7.471068162045293e-07
99,0.39756896356684707,0.6909650401129386,4964,4.625785593307174e-06
100,0.8706243686850247,0.3839993753572122,5214,1.057667628224057e-05
101,-1.436566992569423,0.1508976271170097,5532,-1.5905042094153288e-05
102,0.4472774386010959,0.6546965779331924,4440,5.478424349088096e-06
103,-0.39865001854867294,0.690169385225488,4656,-4.710120423306567e-06
104,0.7700889960282276,0.4412884267916928,4403,1.031719965552928e-05
105,0.7142923831965761,0.4750757791490796,5676,8.33450272523285e-06
106,0.6762840784658797,0.4988881640060743,5614,7.480114625521082e-06
107,1.0172341331253392,0.30908757568539724,5408,1.2029005239088729e-05
108,-0.7873103111143517,0.431148648710586,3855,-7.5459965243451125e-06
109,0.9715274621577543,0.331342702981237,4122,9.674005561264859e-06
110,-0.9218242031391255,0.35667646545909015,3959,-1.1522395686199974e-05
111,-1.1622827849842359,0.24517424610047556,5173,-7.532509092232279e-06
112,-0.0046896018289477375,0.9962584418326643,4950,-4.2837987107575926e-08
113,0.28187953496093143,0.7780511834867183,3813,3.1256623761152095e-06
114,0.45784930271953245,0.6470883824361366,3596,5.3104536340070155e-06
115,-0.6927166066408361,0.48852221011703745,4624,-8.47183432329234e-06
116,-0.3638811330350764,0.7159624094748636,4921,-3.7035860713113223e-06
117,1.1379697162101687,0.2551901742884173,4780,1.1811321938126705e-05
118,0.5127693362310594,0.6081311309832984,6140,5.035340342593891e-06
119,0.2853937884793864,0.775356350226506,4258,3.693214084978853e-06
120,1.5922332591871549,0.11138920028032984,5556,1.851205673734121e-05
121,1.4093639060941685,0.1588072196624004,3906,1.7165121619095687e-05
122,-0.23905093496650706,0.811074877210169,5574,-1.7339360732900477e-06
123,-0.8465923327469577,0.3972652634144471,4726,-7.355628595027875e-06
124,0.17415222555549786,0.8617528877130642,4996,1.38719131754817e-06
125,-0.5875952814791773,0.5568338935359307,4436,-7.140576843518964e-06
126,-0.2781368419227094,0.7809194749117596,4730,-3.7904103144077567e-06
127,0.16312493116442342,0.8704259429712491,5614,1.663950002109899e-06
128,-1.0977190041072493,0.27237768604359314,5237,-1.2336440511781947e-05
129,0.4682518552849787,0.6396251939402426,4931,4.585616778140005e-06
130,1.8859003000244117,0.05936731844889653,4915,2.490119891501206e-05
131,0.5111627672655451,0.6092603940897479,4843,5.7215074872512875e-06
132,-1.5684686025169443,0.11684323219869475,4431,-1.706782831145172e-05
133,0.8781435004236517,0.3799224090114408,3731,1.3516953554947861e-05
134,-0.6302319580883333,0.5285716336830979,5001,-4.861855771455629e-06
135,-0.986890889040076,0.3237500528144097,4429,-9.424120512112393e-06
136,0.9812692236440442,0.32649476742270633,6828,8.887952049044184e-06
137,1.3615653920352926,0.17339001540485643,5585,1.4597126613899696e-05
138,-1.7075514715322189,0.0877863520166573,4651,-2.0273138671161838e-05
139,-1.4197291039475761,0.15574924275278978,4974,-1.3493204770426912e-05
140,-0.16592178197886734,0.8682238162158828,6317,-1.6387162510167732e-06
141,-0.17216375260334588,0.8633170471561264,4222,-1.5515926340266964e-06
142,-1.5161131345802097,0.12956812155317254,4086,-1.8657216870031622e-05
143,0.212060574590041,0.8320684641787106,4976,2.4369955056600553e-06
144,-0.5541466769951345,0.5795031365503784,5024,-5.380688928019202e-06
145,0.4277933424684902,0.6688195904641558,5117,4.576522006284929e-06
146,0.0786839418248107,0.937287065308005,5168,5.04263657440479e-07
147,0.4931137451977129,0.6219573066877135,4317,3.9619530385656304e-06
148,-1.3435916990455798,0.17913580306943833,5509,-9.945175220569176e-06
149,-0.07953313621616594,0.9366114649452382,5510,-5.078861774801992e-07
150,0.08245112676946606,0.9342915238084295,4659,1.182368607625518e-06
151,0.5703727011630711,0.5684485709598843,5424,6.5495612889189775e-06
152,0.542230882347894,0.5876815432988822,5473,5.1238881284524176e-06
153,0.22535291958542147,0.821713403178691,5313,2.36809701327183e-06
154,-1.978204745494241,0.04796778108070088,4409,-2.315620221175208e-05
155,-0.07153034585570073,0.9429793034800613,3942,-8.623398252586729e-07
156,-1.3491819509950587,0.17733900538378777,5052,-1.3764508938167635e-05
157,-0.25974958884472193,0.7950664263663172,5637,-2.8857952775250182e-06
158,0.6169675078154657,0.53728217835355,5399,7.332292932629884e-06
159,-0.950668697247234,0.3418111190416546,5963,-8.015553162349805e-06
160,-1.3056567253451679,0.1917300224152978,4949,-1.4971774961961456e-05
161,-0.10904999613943323,0.9131677042590216,4495,-1.365817731918177e-06
162,-1.7103111659154209,0.08727226401702493,4854,-1.3852183167850532e-05
163,0.9481230624034348,0.34311946393512804,4352,8.91015808294763e-06
164,1.398854848915613,0.16191784099136974,5058,1.0476662831901866e-05
165,0.7049980032283162,0.48083862267149957,6050,4.032086434238531e-06
166,-0.8964631605533944,0.3700528841337851,4550,-8.073892528101745e-06
167,-0.08492455959274357,0.9323251285421681,4520,-7.540294877144645e-07
168,0.038947238790481994,0.9689338182079794,5700,4.095469516761252e-07
169,-0.148279711774325,0.882128031757573,4979,-1.4265086741524682e-06
170,0.6783200931397184,0.49759361184510453,6317,5.558176938317108e-06
171,1.4603418128785055,0.14429155205911903,3294,1.9412088143499264e-05
172,-0.1422778708853339,0.8868666706372603,4665,-1.9319715728215848e-06
173,0.7011251201918971,0.48325716316850365,5063,4.863514953130462e-06
174,-0.06826011502747933,0.9455818541955507,4161,-6.981332365973473e-07
175,0.6051521248960158,0.5451061020025976,4874,7.777763371176669e-06
176,-0.1594565174280755,0.8733146108399295,5968,-1.218506734061012e-06
177,0.05800183142748707,0.9537496380433106,4696,7.3594493132416e-07
178,-0.7940957036323226,0.4271775786239962,4978,-7.324284574404803e-06
179,1.4956461531085905,0.1348085621726367,5036,1.4825876243792333e-05
180,0.6825328647339777,0.4949322571332082,5238,8.235217067110771e-06
181,0.8010230968202267,0.42315071731963316,5867,5.1969652171755415e-06
182,-0.1810508491408894,0.8563348438573124,5111,-2.2307495773424366e-06
183,1.2913568186662931,0.19664604008917586,4519,1.0092971690978008e-05
184,-0.48913183200437876,0.6247698173394984,5002,-3.626074085330579e-06
185,-0.14840089233591544,0.8820323873855014,4995,-1.8026760816306834e-06
186,-1.1324702890741547,0.2575193456618343,3289,-1.2558199967556798e-05
187,-0.511957805512552,0.6087016442053392,5358,-4.808448569457282e-06
188,-1.080268766019832,0.28007725616624035,4760,-1.200130338705169e-05
189,-0.05684041755104849,0.9546744472031337,5333,-3.7853095950754005e-07
190,0.009806301404920819,0.9921763289376464,3913,1.2967511698745153e-07
191,-0.06928819418840564,0.9447624957986067,6096,-7.097731390352603e-07
192,-2.192185173688268,0.02842205633850492,4109,-2.3909396153755397e-05
193,0.6736431486717442,0.5005754418439978,4183,8.572827745792704e-06
194,-0.2007934227113479,0.8408678575839996,5269,-2.38586018377273e-06
195,-0.7414774877367479,0.4584456916922903,4175,-7.231841175190731e-06
196,-1.560604004779022,0.11869000738012225,4348,-1.50764709166192e-05
197,1.6673975917211197,0.09549353035479768,5385,1.4844107691761347e-05
198,1.7048053258288465,0.08830690516616024,4079,1.5727365986629116e-05
199,-0.8655967798920817,0.386742908902717,6575,-6.012240765742783e-06
200,-1.1950492910687158,0.23212630182282457,4843,-1.1106875394435287e-05
201,-1.6178246581378808,0.1057579008676266,5485,-1.4140629509664443e-05
202,0.6592866333398638,0.5097480162023875,4184,6.495174965763677e-06
203,-0.3378450117306703,0.7354939749342118,5071,-4.251212438559198e-06
204,0.9686963755292933,0.33273393503479687,6293,9.564061271960142e-06
205,0.956730430331098,0.33874229651923327,5937,1.056101371122239e-05
206,-0.2410857548648323,0.8094961739102513,6573,-2.0429851656160166e-06
207,0.4659301137163716,0.6412836559950588,5598,2.9910169404810273e-06
208,0.234227435844777,0.8148195989735867,4289,3.6080120757933864e-06
209,-1.0628519191534744,0.28789615866226415,5456,-1.1840068264096407e-05
210,-0.9176564494660524,0.3588441785962426,4873,-8.370171647612303e-06
211,-0.8481401769220624,0.39640309933241347,4701,-9.55625861215149e-06
212,-0.3236397844120038,0.7462255408583998,4581,-3.7561854746797674e-06
213,0.0549400848800011,0.9561882866897269,5253,3.928137204917536e-07
214,0.41774044374372826,0.6761529090096512,5603,4.723539331377586e-06
215,-1.1476923166479998,0.25115870379877747,4352,-1.1669651299836662e-05
216,-0.11550386909588431,0.9080508430470184,4558,-1.0520247011036946e-06
217,1.3079281614437581,0.19095240883136766,5494,1.5917436041815963e-05
218,-0.15697346231929263,0.8752736990206991,3994,-2.0878649450249233e-06
219,-0.9984285034139122,0.31812168567886934,4826,-9.659438194791786e-06
220,-1.0688630675751551,0.2851814233530736,5156,-9.986933922572283e-06
221,-1.9008893391212751,0.05737119998991802,5253,-2.0260359726957392e-05
222,0.6308733923339056,0.5281541105656644,4682,5.58612373034098e-06
223,-0.6417966439595946,0.5210345149960367,5024,-6.768070542571715e-06
224,-1.6944727023849433,0.09024978983687726,4192,-1.9612451606034003e-05
225,-0.016788103364769012,0.9866063164931584,5108,-1.1573511583366536e-07
226,-0.12305614979367555,0.9020672277986472,5385,-1.1727181599647452e-06
227,-0.41644025556659703,0.6771053874820279,5105,-3.1114189687851303e-06
228,0.8764863963990646,0.3808058932356926,5235,9.872717184910746e-06
229,-0.12431034920436251,0.9010739576037157,5674,-1.2621732896747426e-06
230,0.6858478825386296,0.4928436470118769,4595,6.16686567784468e-06
231,0.22434638566696702,0.8224970353684877,4956,2.5284681642281523e-06
