config,target_bars,cusum_h,vertical_barrier_num_days,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,notes
baseline,250,500,3,239,48,47,198,0.37912945575539175,75.06763223956757,0.022647118170344205,0.395021645021645,0.5157912854814836,
target_bars_500,500,500,3,453,69,68,361,0.36815282490611784,132.90316979110855,0.05657456278846589,0.38852813852813856,0.6691590441618154,
cusum_h_250,250,250,3,239,97,93,197,0.2086464798348225,41.103356527460036,0.07247690206795301,0.22943722943722944,0.5870958535377182,
vertical_barrier_1day,250,500,1,239,48,47,124,0.5234216532088872,64.90428499790201,-0.00959319798920833,0.5194805194805194,0.317385551728815,
