edge_strength,seed,n_raw_trades,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.0,0,120000,991,242,242,0.30000000000000004,-0.04518922496940016,701,0.17672506079011116,123.88426761386792,0.018816837263935883,0.47651216933380736,0.262987012987013,-0.07756312416264426,4.276142748798862,20,12.19316554069519,
0.0,1,120000,991,264,264,0.30000000000000004,0.05024800621977264,789,0.13775554026948075,108.68912127262031,0.02671722272815621,0.5356366662185902,0.5335497835497836,0.24200338985072303,4.300460895755089,20,13.851166725158691,
0.0,2,120000,991,245,245,0.6000000000000001,0.007936987710721972,945,0.1330793425844146,125.75997874227178,0.06466553246260884,0.7558103673611083,0.9383116883116883,0.08450847952860528,5.016022785234893,20,13.213250875473022,
0.0,3,120000,992,211,211,0.2,0.029920574813383675,895,0.18481452089867528,165.40899620431438,-0.052236027114124825,0.2259741614761427,0.9166666666666666,0.1994669772090404,7.940504925591153,20,11.612636804580688,
0.0,4,120000,991,216,216,0.4,-0.009385902316640217,894,0.15649813185769032,139.90932988077515,-0.07012207260296494,0.18329970003462243,0.34523809523809523,0.01308014954286696,4.392475574293551,20,11.845577478408813,
0.02,0,120000,991,224,224,0.30000000000000004,0.0020276441768484425,740,0.18263497249706045,135.14987964782475,-0.006996067529081799,0.35952816367344176,0.5606060606060606,0.19995490133322635,7.399093544616923,20,11.75445556640625,
0.02,1,120000,991,261,261,0.30000000000000004,0.012059688678208813,570,0.13981069028987875,79.69209346523088,-0.0034967832541229374,0.4447338453250385,0.645021645021645,-0.37389487991264825,4.580084113244215,20,13.290608644485474,
0.02,2,120000,991,238,238,0.6000000000000001,0.012550981300308439,935,0.13524765495172497,126.45655737986284,0.07216267795145487,0.7738361087483062,0.4675324675324675,0.3908226930583404,4.4674422906463676,20,12.421401977539062,
0.02,3,120000,991,225,225,0.2,0.08406198082493753,582,0.17092442373208888,99.47801461207573,-0.023194363378404432,0.3498030225157652,0.6439393939393939,0.05439789582355944,4.812435977993173,20,11.693160772323608,
0.02,4,120000,991,215,215,0.4,0.02489987449949506,878,0.14773698552111061,129.7130732875351,-0.08360438288689387,0.15875148196848465,0.8755411255411255,0.08009427045337292,4.393384115601268,20,12.194467782974243,
0.05,0,120000,991,226,226,0.30000000000000004,0.0435077732550188,798,0.18207813159398714,145.29834901200175,-0.0023236909086047633,0.3366163379015118,0.050865800865800864,0.711830639528163,7.860454524280731,20,12.646203994750977,
0.05,1,120000,991,268,268,0.30000000000000004,-0.0082771977567695,879,0.12753330707028857,112.10177691478364,0.03930463970072014,0.5915531675085055,0.22727272727272727,-0.04478822740551744,5.393107800583505,20,12.297165393829346,
0.05,2,120000,991,236,236,0.6000000000000001,0.015530852211691709,922,0.1324885954907539,122.15448504247509,0.08428756524961283,0.7926919825627781,0.10497835497835498,0.01518746365350448,4.123429900272564,20,11.594641923904419,
0.05,3,120000,991,230,230,0.2,0.13229080140705485,512,0.17259469528245933,88.36848398461917,-0.029106108056933856,0.36245736050087785,0.5974025974025974,-0.0816303297795591,4.558712820179029,20,11.38375997543335,
0.05,4,120000,991,221,221,0.4,0.06429542785881827,892,0.14639417264725982,130.58360200135576,-0.06230867473136087,0.22332323626731176,0.5811688311688312,0.1524584931833076,4.151864845709442,20,11.270407438278198,
0.1,0,120000,991,237,237,0.30000000000000004,0.07773670748920135,810,0.1857793197993954,150.48124903751028,-0.012253171082517167,0.31925138333903824,0.18722943722943722,-0.2813894370012364,7.544414896834551,20,11.65298056602478,
0.1,1,120000,991,261,261,0.30000000000000004,0.014255041711114589,419,0.1336507911117081,55.999681475805694,0.016892034574345714,0.5098176979882564,0.6861471861471862,0.09488204098791655,3.0384228488587923,20,12.182790756225586,
0.1,2,120000,991,248,248,0.5,0.05853847254932301,855,0.1280418686465018,109.47579769275904,0.06194958532078872,0.723975979139136,0.7770562770562771,-0.04222755229013936,4.107002366265789,20,11.726473569869995,
0.1,3,120000,991,226,226,0.0,0.1858184402474757,838,0.17060782093738797,142.9693539455311,-0.022425730493413384,0.31781689211704295,0.6309523809523809,0.18923679089592618,6.515371944348914,20,10.868637800216675,
0.1,4,120000,992,226,226,0.4,0.1054644321781931,893,0.1507858084488622,134.65172694483394,-0.07367272821379556,0.16425951004916678,0.47943722943722944,0.218318375288644,5.11338991912298,20,11.153206825256348,
0.15,0,120000,991,228,228,0.30000000000000004,0.11565096795028869,829,0.17642562810662318,146.2568457003906,-0.005183135030524566,0.316882984734864,0.37554112554112556,0.4825197407057257,6.799219600019853,20,11.228804588317871,
0.15,1,120000,991,254,254,0.2,0.045735951243418595,923,0.1308644061830476,120.78784690695294,-0.0022424507201290324,0.42487089270094197,0.4448051948051948,-0.22054248620494077,6.03784932386387,20,11.795879125595093,
0.15,2,120000,991,255,255,0.5,0.08829523864053587,923,0.1262981887107802,116.57322818005012,0.054879659685258715,0.6990573779766809,0.8560606060606061,-0.0028440672744035334,4.999998046234506,20,12.350987434387207,
0.15,3,120000,991,245,245,0.0,0.21812396569466042,754,0.16481612267981224,124.27135650057843,-0.019143723575510484,0.3901719025081357,0.8506493506493507,0.05139760940115579,7.030500237649424,20,11.516695261001587,
0.15,4,120000,992,223,223,0.4,0.13082828715718833,893,0.15493734366705358,138.35904789467884,-0.08160225292465619,0.15297986416767007,0.30844155844155846,-0.040310132479040514,5.561798750870505,20,11.304494142532349,
0.2,0,120000,991,230,228,0.30000000000000004,0.14915704137071928,858,0.182412971923629,156.5103299104737,0.03260580150814241,0.41171654157696724,0.06926406926406926,-0.21621514607744252,9.169827424563657,20,11.321691989898682,
0.2,1,120000,991,261,261,0.2,0.07175653015384811,544,0.13520805446156575,73.55318162709177,0.06273563457813015,0.6707935394857258,0.25216450216450215,0.26867220069753595,4.501548303663284,20,12.283949851989746,
0.2,2,120000,991,247,247,0.5,0.12211070841681025,881,0.13562556242943527,119.48612050033248,0.055222723135466265,0.7035508854800324,0.23484848484848486,0.11712948107728431,4.472844296896666,20,11.785172939300537,
0.2,3,120000,991,239,239,0.0,0.24888965314251948,926,0.1651013983212971,152.88389484552113,0.007832248858446066,0.4256474709676323,0.25216450216450215,-0.2120819638017181,9.033268107702543,20,11.453388452529907,
