T_label,T_effective,z,rep,dsr,pbo,confidence
single_window_tb2000,197.3,0.0,0,0.4777575626518166,0.6038961038961039,0.1892416319594858
single_window_tb2000,197.3,0.0,1,0.5479952385315059,0.2435064935064935,0.4145548395384444
single_window_tb2000,197.3,0.0,2,0.6489221767968933,0.5584415584415584,0.2865370650791477
single_window_tb2000,197.3,0.0,3,0.5824387352624236,0.7337662337662337,0.15506485808934656
single_window_tb2000,197.3,0.0,4,0.847304803507102,0.3582251082251082,0.5437789485711163
single_window_tb2000,197.3,0.0,5,0.3507142948444911,0.5584415584415584,0.1548608574638013
single_window_tb2000,197.3,0.0,6,0.4691449875116708,0.8852813852813853,0.05381966306952065
single_window_tb2000,197.3,0.0,7,0.30729546996723534,0.6525974025974026,0.10675524443666941
single_window_tb2000,197.3,0.0,8,0.44076932861221874,0.36147186147186144,0.2814436189190574
single_window_tb2000,197.3,0.0,9,0.47977892702147806,0.7705627705627706,0.11007914775817462
single_window_tb2000,197.3,0.0,10,0.49910569715682773,0.48484848484848486,0.2571150561110931
single_window_tb2000,197.3,0.0,11,0.6770135059363951,0.2803030303030303,0.48724456866634497
single_window_tb2000,197.3,0.0,12,0.4446793618983215,0.23917748917748918,0.33832206863043296
single_window_tb2000,197.3,0.0,13,0.37817114361500126,0.8430735930735931,0.05934503877075236
single_window_tb2000,197.3,0.0,14,0.3766022783136378,0.8679653679653679,0.04972454324054526
single_window_tb2000,197.3,0.0,15,0.3252669329375242,0.6201298701298701,0.12355919205743615
single_window_tb2000,197.3,0.0,16,0.31127578881904483,0.775974025974026,0.06973386178088992
single_window_tb2000,197.3,0.0,17,0.6664277891646245,0.32792207792207795,0.4478914037567444
single_window_tb2000,197.3,0.0,18,0.5235798910395559,0.8928571428571429,0.056097845468523824
single_window_tb2000,197.3,0.0,19,0.29014762288313617,0.7803030303030303,0.06374455351220416
single_window_tb2000,197.3,0.0,20,0.4024651685620221,0.18722943722943722,0.3271118415477041
single_window_tb2000,197.3,0.0,21,0.5152700693807892,0.5270562770562771,0.24369374493442086
single_window_tb2000,197.3,0.0,22,0.7621079845139188,0.23376623376623376,0.5839528712509249
single_window_tb2000,197.3,0.0,23,0.5355097717971369,0.5670995670995671,0.2318224120333926
single_window_tb2000,197.3,0.0,24,0.5420618302097384,0.3787878787878788,0.3367353793727163
single_window_tb2000,197.3,0.0,25,0.46614003328864156,0.5887445887445888,0.19170261109273135
single_window_tb2000,197.3,0.0,26,0.4701720272905756,0.3333333333333333,0.3134480181937171
single_window_tb2000,197.3,0.0,27,0.783177233880898,0.10714285714285714,0.699265387393659
single_window_tb2000,197.3,0.0,28,0.25282554718009165,0.525974025974026,0.11984587626069279
single_window_tb2000,197.3,0.0,29,0.5302893269591831,0.5281385281385281,0.25022310233138945
single_window_tb2000,197.3,0.0,30,0.43031822222920363,0.3625541125541126,0.27430458105303135
single_window_tb2000,197.3,0.0,31,0.4183942123856335,0.7748917748917749,0.09418397854568375
single_window_tb2000,197.3,0.0,32,0.5082423767654403,0.2510822510822511,0.38063173671177997
single_window_tb2000,197.3,0.0,33,0.6211874364055504,0.7229437229437229,0.1721038784846547
single_window_tb2000,197.3,0.0,34,0.654950874717778,0.05627705627705628,0.6180921674825784
single_window_tb2000,197.3,0.0,35,0.13685622966388816,0.7380952380952381,0.03584329824530404
single_window_tb2000,197.3,0.0,36,0.7304298919867002,0.34523809523809523,0.4782576673722442
single_window_tb2000,197.3,0.0,37,0.5737498625374575,0.5270562770562771,0.2713513960269144
single_window_tb2000,197.3,0.0,38,0.3186473460759304,0.8733766233766234,0.04034820291221197
single_window_tb2000,197.3,0.0,39,0.6911098753698071,0.22727272727272727,0.5340394491493964
single_window_tb2000,197.3,0.0,40,0.6389878513406809,0.6396103896103896,0.23028458278836228
single_window_tb2000,197.3,0.0,41,0.3480016164791002,0.7857142857142857,0.0745717749598072
single_window_tb2000,197.3,0.0,42,0.4481923641970691,0.22186147186147187,0.3487557465992345
single_window_tb2000,197.3,0.0,43,0.5380947997148593,0.5021645021645021,0.26788269249873947
single_window_tb2000,197.3,0.0,44,0.4971370088098344,0.3647186147186147,0.3158218876313558
single_window_tb2000,197.3,0.0,45,0.21567728837963462,0.7738095238095238,0.04878414856206021
single_window_tb2000,197.3,0.0,46,0.408975876342,0.6341991341991342,0.14960372965757143
single_window_tb2000,197.3,0.0,47,0.3106834000918208,0.8344155844155844,0.05144432923598333
single_window_tb2000,197.3,0.0,48,0.751883278405405,0.23809523809523808,0.5728634502136419
single_window_tb2000,197.3,0.0,49,0.6149060530306014,0.5303030303030303,0.28881950975679765
