fold,n_train,n_test,train_majority_class,train_majority_pct,test_majority_class,test_majority_pct,trivial_baseline_accuracy
1,1671,695,-1.0,0.5344105326152004,1.0,0.7640287769784173,0.23597122302158274
2,1639,695,-1.0,0.5100671140939598,1.0,0.6863309352517986,0.31366906474820144
3,1516,695,1.0,0.5798153034300791,1.0,0.5223021582733813,0.5223021582733813
4,2047,695,1.0,0.6697606253053249,-1.0,0.753956834532374,0.2460431654676259
