T,P[DSR>0.5],P[DSR>0.95],mean_dsr,std_dsr,pct_of_asymptotic_spread,p05_p95_width
5,0.5588,0.0,0.526421827337599,0.20402895915843666,1.3012877916959156,0.6723446808831979
10,0.5222,0.00175,0.5155228431267382,0.17619925116002486,1.1237911293879268,0.5830294961242828
15,0.502,0.00115,0.5075954791892892,0.1702266257657759,1.0856979854442095,0.5633097871886096
19,0.49655,0.00105,0.5059478978085357,0.16578821372269076,1.0573899872560808,0.5458809841707052
20,0.49225,0.0011,0.5049368363150902,0.1662792385690202,1.0605217222832228,0.5482621666733387
25,0.48645,0.00125,0.5023185069898678,0.16252444175659705,1.0365737921832083,0.5358708273666557
30,0.48315,0.00095,0.5017984257840974,0.16216730397822282,1.0342959830287202,0.5360131182755545
40,0.47535,0.00065,0.4979085152420047,0.1599655788548532,1.020253476339823,0.5300007579639106
50,0.4715,0.00105,0.49780116644357114,0.160024669068936,1.0206303511448105,0.5285401440072875
75,0.47115,0.0012,0.49639844246942283,0.1575286784618954,1.0047110320514487,0.5196243631194675
100,0.4712,0.0007,0.49707795093255525,0.1584176983997575,1.0103811623921906,0.5282192731385074
150,0.47255,0.0006,0.49738660466574103,0.15749669810826636,1.0045070627525647,0.5199329383424298
200,0.47145,0.00035,0.49695333280869874,0.15607873536985503,0.9954633583285202,0.5188952590113514
500,0.4734,0.0005,0.4973235433779395,0.15665804460316335,0.99915816732049,0.5159303466598988
1000,0.46865,0.00065,0.4961339000769958,0.15679003557893523,1.0,0.5198839846958624
