cost_bps_one_way,real_net_t,real_net_mean_pnl_per_active_bar,real_n_active,null_mean_t,null_sd_t,empirical_p_one_sided,empirical_p_two_sided,n_rolls
0.0,2.0025344503511677,1.789243271236504e-05,5455,-0.9044464983887308,0.975062913056041,0.000999000999000999,0.13186813186813187,1000
2.5,1.4551449196614352,1.369450090939092e-05,5342,-1.2709604267823023,0.966370021495168,0.000999000999000999,0.41358641358641357,1000
5.0,1.1141239941473586,1.1014222087925773e-05,5094,-1.6204706855713524,0.9669734749002936,0.000999000999000999,0.6903096903096904,1000
10.0,-0.09741341360727974,-9.338038293095331e-07,5104,-2.2789568906666973,0.9612065384545979,0.007992007992007992,0.998001998001998,1000
15.0,-0.7838965864436654,-8.47301950842324e-06,4552,-2.8674357648047875,0.9515867660278444,0.008991008991008992,0.9920079920079921,1000
25.0,-2.6983188037100434,-4.3063578532757065e-05,3116,-3.9629790009630206,0.924377017835848,0.0959040959040959,0.9050949050949051,1000
40.0,-4.469955086735562,-7.128738297060274e-05,2934,-5.4909487558734265,0.9246405654254248,0.14185814185814186,0.8591408591408591,1000
