continuation_prob,seed,n_bars,n_events,n_events_enriched,fracdiff_d,bar_lag1_autocorr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.563,0,2987,1122,1122,0.5,0.46395917596446773,2194,0.06466547460311008,141.8760512792235,0.020362250938113335,0.47893756509780905,0.0735930735930736,0.048034779297701356,3.482500140498349,20,49.81831455230713,
0.563,1,2987,862,862,0.30000000000000004,0.46641293264072664,2309,0.0987885973781336,228.10287134611048,0.001221631157263615,0.40249732800138216,0.7229437229437229,0.1262835381014477,4.976386352495213,20,42.53046894073486,
0.563,2,2987,878,878,0.4,0.46268613417253124,2028,0.08223743499536539,166.777518170601,-0.021260387425279897,0.27061851864610764,0.7229437229437229,0.04228971336640893,3.756117566947799,20,42.23518133163452,
0.572,0,2987,1273,1273,0.5,0.5018760328145079,2387,0.05743337078276881,137.09345605846914,-0.002476967179394294,0.34065525391335183,0.025974025974025976,-0.006982385281055952,3.4517977714688874,20,55.098225831985474,
0.572,1,2987,968,968,0.30000000000000004,0.5232044640893013,2295,0.08889772923018492,204.0202885832744,-0.009197846589287984,0.34426650436357453,0.5909090909090909,0.2186329639110733,4.046716805814091,20,45.2896511554718,
0.572,2,2987,993,993,0.4,0.49631570053244106,1186,0.07073177065937468,83.88788000201836,0.00026285606189556187,0.39882059008154447,0.12121212121212122,0.03386806559828969,2.856781819160742,20,47.02367353439331,
