edge_strength,seed,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.2,0,119928,991,991,235,235,0.4,0.12361380249011193,793,0.15479754225380848,122.75445100727013,0.021919344192749886,0.5040750308118465,0.3246753246753247,0.055977782658927194,5.744765717237376,20,13.45708441734314,
0.0,0,119928,991,991,230,230,0.4,0.012876284814902354,933,0.16719691237988796,155.99471925043545,0.02891092301424258,0.5255428913867294,0.6547619047619048,-0.27671559532042644,4.990556007551339,20,14.31926155090332,
0.0,1,119949,991,991,243,243,0.2,0.004431038255010786,773,0.15891068703434838,122.8379610775513,0.032382496204569566,0.5480257276758791,0.5854978354978355,0.17181740283890304,5.1032123764154225,20,13.75310230255127,
0.0,2,119953,991,992,232,232,0.30000000000000004,0.06367775452794074,839,0.16789480133092402,140.86373831664525,0.046941587552023156,0.6042907832015632,0.7348484848484849,1.1481815755177838,10.594036856098636,20,13.397325277328491,
0.0,3,119890,991,992,263,263,0.0,0.026682991959281303,375,0.14797559771898638,55.490849144619894,-0.013676841384012537,0.41563479101107337,0.7164502164502164,0.08036020870446545,5.723816872465674,20,13.981966018676758,
0.0,4,119891,991,991,233,233,0.30000000000000004,-0.028399925313246706,942,0.14137826360758843,133.1783243183483,-0.015210009324504961,0.3531898291850335,0.3722943722943723,-0.23319399803390575,6.522499291167691,20,12.682153701782227,
0.02,0,119928,991,992,242,242,0.4,0.015027227570564738,749,0.15863898400814247,118.8205990220987,-0.0030463628490728922,0.4120710088129532,0.5616883116883117,-0.18386552236334747,4.93518596504223,20,13.326429605484009,
0.02,1,119949,991,991,222,222,0.30000000000000004,0.04531165871012648,848,0.1689455449793173,143.26582214246108,0.038328709389568096,0.6040845484741931,0.5606060606060606,0.11036105134254495,5.635775877048472,20,12.853935480117798,
0.02,2,119953,991,991,231,231,0.30000000000000004,0.0624878789564465,294,0.16748620251144142,49.24094353836378,0.050230161092531776,0.566033458215818,0.15151515151515152,-0.068578690605954,4.972811713793111,20,13.049134254455566,
0.02,3,119890,991,991,263,263,0.0,0.015904723647083726,634,0.15139936260326292,95.9871958904687,0.04473802581486234,0.48079685303589415,0.08766233766233766,0.2701580079162521,5.4989966827830195,20,14.95361876487732,
0.02,4,119891,991,991,233,233,0.30000000000000004,-0.0028150770267004062,893,0.13908324652854262,124.20133914998856,-0.015245084033549608,0.37557293877714626,0.4145021645021645,-0.1702976729611275,5.811374832094346,20,17.04989981651306,
0.05,0,119928,991,991,228,228,0.4,0.04000160734685123,516,0.1600555783841362,82.58867844621427,0.012152517778309056,0.4603726168277246,0.3041125541125541,0.07413495207197439,3.6327732824500436,20,14.36565613746643,
0.05,1,119949,991,991,240,240,0.30000000000000004,0.07568920683313664,751,0.14866218113255264,111.64529803054704,0.0913490718019853,0.706183828370676,0.5,0.19161203524531484,4.582186143863862,20,14.757645845413208,
0.05,2,119953,991,991,236,236,0.2,0.06703019317191215,623,0.15976909982993662,99.53614919405051,0.05093561372085604,0.6451713490203979,0.854978354978355,0.1548959110414985,7.413273771853325,20,16.1697199344635,
0.05,3,119890,991,991,254,254,0.0,0.014995361675790778,598,0.16518081791563227,98.7781291135481,0.03977891602399272,0.5678579782875731,0.3170995670995671,-0.4478366882913668,8.504012822249246,20,16.472350358963013,
0.05,4,119891,991,991,243,243,0.30000000000000004,0.031185539559726107,682,0.13773367601307834,93.93436704091943,-0.03844195263613823,0.3007165547501631,0.27056277056277056,-0.21631524880526148,6.6622531473037885,20,15.33159852027893,
0.1,0,119928,991,991,246,246,0.4,0.06513535035044718,653,0.15361175316196493,100.3084748147631,0.025578912567062913,0.5377648193567733,0.5822510822510822,0.028941753782974006,5.8686009412498255,20,17.89701747894287,
0.1,1,119949,991,991,234,234,0.30000000000000004,0.12616447215572102,721,0.16230306852622253,117.02051240740644,0.06710450028764314,0.6834425929822523,0.20346320346320346,0.43683638846248946,4.938725672970536,20,17.16774892807007,
0.1,2,119953,991,991,232,232,0.2,0.07931290301112955,722,0.1706580849427288,123.21513732865019,0.01119479362940588,0.4916647083069226,0.6807359307359307,-0.024739428347780503,4.809207063516624,20,16.423142433166504,
0.1,3,119890,991,991,245,245,0.0,0.03505660199373892,643,0.1680069228441945,108.02845138881706,0.04028354083766149,0.6204758609021351,0.5638528138528138,0.05247520960725956,5.5941803127702325,20,17.137744665145874,
0.1,4,119891,991,991,249,249,0.30000000000000004,0.08056664525272898,856,0.13902137915202462,119.00230055413307,-0.016382741042178964,0.3117116366097438,0.18181818181818182,-0.6741580120782589,11.488235452831091,20,17.085879802703857,
0.15,0,119928,991,991,230,230,0.4,0.09550970871428928,937,0.1590992893953011,149.07603416339714,0.049941485991613126,0.6725105248806886,0.7716450216450217,-0.08677973004215286,4.510751063469424,20,15.215754747390747,
0.15,1,119949,991,991,239,239,0.30000000000000004,0.1668574852791761,734,0.14739582734273105,108.18853726956459,0.015843002902514572,0.5119037861141614,0.7121212121212122,0.06361027765356465,3.5119205354409258,20,15.85172724723816,
0.15,2,119953,991,991,230,230,0.2,0.10465234007838847,864,0.1651973584171038,142.7305176723777,0.10072177024772615,0.8795047761297867,0.8474025974025974,1.2693403975467819,11.864645298985145,20,14.969670295715332,
0.15,3,119890,991,991,248,248,0.0,0.060725702069964534,832,0.16938877327561586,140.93145936531238,0.058358623072288895,0.6508279421932541,0.5064935064935064,0.3125669916258978,4.648230537014349,20,15.464378595352173,
0.15,4,119891,991,991,250,250,0.30000000000000004,0.12264945846847189,940,0.13343002320948102,125.42422181691217,-0.009915694828801374,0.42408449462253434,0.6125541125541125,-0.6084140306503131,9.887492751990939,20,20.302644968032837,
0.2,0,119928,991,991,235,235,0.4,0.12361380249011193,793,0.15479754225380848,122.75445100727013,0.021919344192749886,0.5040750308118465,0.3246753246753247,0.055977782658927194,5.744765717237376,20,30.85099458694458,
0.2,1,119949,991,991,234,234,0.30000000000000004,0.19805150268166866,836,0.15408075228240284,128.81150890808877,0.04046731679982624,0.6110272841543778,0.6190476190476191,0.07947430880454442,3.9210771924219454,20,34.83092784881592,
0.2,2,119953,991,991,222,222,0.2,0.13471956517656403,789,0.1736038893334319,136.97346868407777,0.041004302668623864,0.5743260599783785,0.3051948051948052,0.22845210268387928,7.4333713271196755,20,22.959086179733276,
0.2,3,119890,991,991,245,245,0.0,0.08737322563112983,846,0.16515631658179294,139.72224382819684,0.05263899003383938,0.6196897065521094,0.049783549783549784,0.5096243061250408,7.6549106177790875,20,23.98301124572754,
0.2,4,119891,991,991,259,259,0.30000000000000004,0.15653582821189116,876,0.1308549329085185,114.6289212278622,-0.02767538485007503,0.3054240529406409,0.27056277056277056,-0.2259972848646156,5.6021865185935145,20,17.905767679214478,
0.3,0,119928,991,991,248,248,0.5,0.17983355708424464,817,0.15043307990226926,122.90382628015398,0.0573568693116302,0.7013946233470865,0.3344155844155844,0.11805312348509661,3.8795251041617163,20,16.821741342544556,
0.3,1,119949,991,991,254,254,0.30000000000000004,0.24288469949879185,605,0.15164291088034207,91.74396108260696,0.02496408054610507,0.3210396490484212,0.017316017316017316,0.3138229993676107,4.612972784678824,20,17.68697214126587,
0.3,2,119953,991,991,244,244,0.2,0.18549047296633844,877,0.16258439161182492,142.58651144357046,0.043092737431359156,0.6227219851791284,0.6168831168831169,0.49034592690905743,7.488782863984483,20,16.990660429000854,
0.3,3,119890,991,991,262,262,0.0,0.13899824244345338,480,0.17140349678997513,82.27367845918806,0.007592785102875207,0.4765676196640122,0.6136363636363636,-0.01837953715656079,3.2609925219943006,20,17.16134262084961,
0.3,4,119891,991,991,262,261,0.30000000000000004,0.2204665629333489,825,0.13177025173215717,108.71045767902967,-0.007678453210616093,0.32428095806845436,0.36038961038961037,-0.18843278863208007,6.83911586072348,20,18.135658502578735,
0.5,0,119928,991,991,256,254,0.5,0.2699524370081827,714,0.14491420091202353,103.4687394511848,0.014705234836223399,0.5279097274940483,0.5281385281385281,0.09931748075322862,4.143483661414702,20,17.48360538482666,
0.5,1,119949,991,991,279,276,0.4,0.3131308320468548,819,0.132412986590083,108.44623601727797,0.026382024635178376,0.43332888648840695,0.005411255411255411,0.21377966478001667,5.394965799089601,20,19.18396830558777,
0.5,2,119953,991,991,253,251,0.2,0.27643931561162566,908,0.15360348961579517,139.471968571142,0.0941046462268083,0.8317481793922812,0.3365800865800866,0.825355647182046,6.86100253775407,20,18.36159920692444,
