target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,986,331,327,745,0.11250133030736033,83.81349107898345,0.0008537414004491063,0.16125541125541126,0.4563815929335626,-0.43438687386947206,19.169244114219484,
2000,1948,448,437,1571,0.12012870587721115,188.72219693309873,0.035121099610652275,0.5043290043290043,0.5622392319360207,0.03094653847104142,9.15408639719215,
3000,2894,518,500,2369,0.1397429388125447,331.05102204691843,0.05242215024795874,0.2792207792207792,0.7094817269190347,0.3760401796344816,9.15648443691338,
4000,3816,598,576,3413,0.14790951368742725,504.8151702151892,0.02500430098368715,0.6829004329004329,0.5655633153869402,0.27983094840596745,7.826522607854484,
5000,4727,631,605,3971,0.1574848704004209,625.3724203600714,0.01799653347560347,0.5064935064935064,0.6157828005343763,0.2128785826862918,14.115943906469543,
