target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,985,119,119,400,0.3315633909675126,132.62535638700504,0.025890602586025987,0.551948051948052,0.5098835043741574,-0.14952655141199098,3.306497244541763,
2000,1948,147,147,1738,0.386046274278965,670.9484246968411,0.01335630349566627,0.30735930735930733,0.3953120086334804,0.51464788769652,9.769779744032686,
3000,2891,161,155,1992,0.4262785007231893,849.146773440593,-0.012928863881266257,0.39935064935064934,0.2759792483273155,-1.200079532850036,16.6140188308612,
4000,3804,167,160,2545,0.538792214963682,1371.2261870825707,-0.0006147630336875041,0.37662337662337664,0.33152710039807753,0.4003232352117639,8.018322414005997,
5000,4694,181,172,2471,0.5994960347308603,1481.3547018199558,0.0009213604246012222,0.7716450216450217,0.4344460349308892,-0.10049157949241892,8.092026165133909,
