edge_strength,seed,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.2,0,119928,991,991,244,244,0.4,0.06457003083379506,947,0.1463749763786169,138.61710263055022,0.027320310320827552,0.5223103832525037,0.566017316017316,0.06861122301788186,7.336602423830421,20,17.143177032470703,
0.0,0,119928,991,991,235,235,0.4,0.014126883881768831,825,0.15731398233005064,129.7840354222918,0.06133048783891976,0.6897330124316531,0.4989177489177489,-0.19935944432586022,6.230876322756493,20,16.658145666122437,
0.0,1,119949,991,991,248,248,0.2,0.019071321637623935,604,0.1483067818627259,89.57729624508644,0.049830068414029184,0.49100085404022054,0.13636363636363635,0.5012824419905767,7.285929843510223,20,16.66325306892395,
0.0,2,119953,991,991,234,234,0.30000000000000004,0.009284548591682994,256,0.16832779186540306,43.09191471754318,0.008741005090419583,0.47528879593564416,0.4686147186147186,-0.25776877161593487,5.309837967564508,20,24.971521615982056,
0.0,3,119890,991,992,259,259,0.0,0.0207610994171508,565,0.15063496254905476,85.10875384021594,0.06505638484907637,0.6506985632595284,0.44696969696969696,0.2995660119923497,7.011565858410574,20,28.85555076599121,
0.0,4,119891,991,991,240,240,0.30000000000000004,0.0007516448058220026,932,0.1365512341949771,127.26575026971867,-0.004359942618493568,0.37841535244086955,0.32575757575757575,-0.2362322289622512,12.082319398455045,20,23.597529649734497,
0.02,0,119928,991,991,232,232,0.4,0.015877642196249528,726,0.16106903407038123,116.93611873509677,-0.019880841698956618,0.32079532669861494,0.27813852813852813,-0.5776293698159545,8.603615789291263,20,22.943726778030396,
0.02,1,119949,991,991,243,243,0.30000000000000004,0.019757891892707102,827,0.14985985047830847,123.9340963455611,0.09851168123801608,0.8357259655159195,0.5681818181818182,0.1864104064721179,4.583160931218772,20,20.999885082244873,
0.02,2,119953,991,991,216,216,0.30000000000000004,0.011873777561477528,404,0.17251146739244327,69.69463282654708,0.016739964182787965,0.49569055932775147,0.670995670995671,-0.17048521874066727,3.1226772436748633,20,19.919615745544434,
0.02,3,119890,991,991,256,256,0.0,0.020111502718274814,703,0.15385523506133397,108.16023024811778,0.0804280545860052,0.7242056881562801,0.18181818181818182,0.028390622463672646,3.9824806897372573,20,21.498416662216187,
0.02,4,119891,991,991,246,246,0.30000000000000004,0.0029589845148397767,540,0.13623396522984507,73.56634122411634,0.0028293584953877015,0.3679052804708253,0.33116883116883117,-0.6815293021712027,6.0392349609266915,20,20.650463342666626,
0.05,0,119928,991,991,233,233,0.4,0.020020304054229967,653,0.1623505409220148,106.01490322207567,-0.008972614174812233,0.40891156159094283,0.12445887445887446,-0.06878129480109986,4.543023210722595,20,20.253084897994995,
0.05,1,119949,991,991,237,237,0.30000000000000004,0.02229838041087988,844,0.1442674233401539,121.7617052990899,0.030208623743965074,0.5760291087590785,0.6125541125541125,0.07062339065897665,5.4568512732303756,20,21.32401156425476,
