continuation_prob,seed,n_bars,n_events,n_events_enriched,fracdiff_d,bar_lag1_autocorr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.505,0,2987,434,434,0.5,0.003955261202245598,2812,0.15316090600439083,430.688467684347,0.03952618169025596,0.7666575108530176,0.5735930735930735,-0.05677102523583027,3.6280623756492982,20,30.788100957870483,
0.505,1,2987,422,422,0.2,-8.706772284517977e-05,1925,0.14990674334100096,288.57048093142686,0.019932889141680846,0.5135293994376792,0.13528138528138528,0.027026417158508047,5.228751758134309,20,29.59350085258484,
0.505,2,2987,401,401,0.4,-0.004609150471767242,2702,0.20950160733588297,566.0733430215557,-0.02159571311810424,0.21439965213598128,0.23160173160173161,0.023233568198510735,4.414685542648563,20,27.378626108169556,
0.505,3,2987,358,358,0.5,-0.0023051047530317447,2403,0.2087212617728692,501.5571920402047,0.03031887778578379,0.7035859376538679,0.3917748917748918,0.0458358983597129,3.2874252245576763,20,23.948378562927246,
0.505,4,2987,381,381,0.0,0.01879871911089248,1430,0.21664814779479782,309.8068513465609,0.029981297016675644,0.616667879553947,0.42424242424242425,0.15121083598633706,6.848025899186902,20,24.420385122299194,
0.505,5,2987,341,341,0.30000000000000004,-0.002511571745412173,2429,0.2501392307392962,607.5881914657506,0.010637871631897458,0.44689380490232344,0.7283549783549783,0.1734684146947498,5.268839863788059,20,22.90945267677307,
0.505,6,2987,383,383,0.30000000000000004,-0.02612288354789624,2350,0.2021875505716669,475.1407438434172,-0.017347394052401693,0.2751287462463444,0.9145021645021645,-0.06309267694096125,4.952971798886909,20,24.025031805038452,
0.505,7,2987,359,359,0.30000000000000004,0.03432318992686259,2098,0.2506981044653108,525.9646231682221,0.010914419543417316,0.5624437579420628,0.6753246753246753,0.00784915555693056,4.447903794155377,20,24.42579436302185,
0.505,8,2987,374,374,0.30000000000000004,0.014688967476304188,1173,0.2252561574023532,264.2254726329603,-0.017379140826319743,0.3566568984675754,0.6363636363636364,0.015045309472714876,2.8534972069176416,20,24.571757793426514,
0.505,9,2987,300,300,0.6000000000000001,0.0385769234667753,2792,0.22867931454260884,638.4726462029639,0.045883119809688504,0.8603782889914457,0.5854978354978355,-0.06638764599790128,3.449294961772848,20,22.965871810913086,
0.505,10,2987,428,428,0.2,0.012507985507049145,1350,0.22402131345695492,302.42877316688913,0.02430899853755006,0.5195558437243587,0.14393939393939395,0.15701516883754352,4.544297710767259,20,26.060997486114502,
0.505,11,2987,387,387,0.1,0.010613632868934922,2798,0.16127236803405257,451.24008575927905,0.01696808669408308,0.5718197754289832,0.35064935064935066,0.1501383660307429,7.021098999624529,20,24.539915561676025,
0.505,12,2987,368,368,0.2,0.031818014776365644,1059,0.1614036102198271,170.9264232227969,0.006131638157010967,0.45364600425342033,0.05194805194805195,0.02763468098154001,3.094206261115845,20,23.61886167526245,
0.505,13,2987,389,389,0.2,0.033249926400526826,1584,0.18171931906086405,287.8434013924087,0.021864187715793768,0.5477531940709204,0.9058441558441559,0.3747584775104415,7.9801417964610675,20,23.94236707687378,
0.505,14,2987,433,433,0.5,-0.007201813021375544,2360,0.1752245206251672,413.5298686753946,-0.008191186614951976,0.3665348679755206,0.4577922077922078,-0.07289859269958503,4.343903815496178,20,27.157293558120728,
0.505,15,2987,457,457,0.30000000000000004,0.01877161292005902,2325,0.18006564446556508,418.65262338243883,0.04156415827804116,0.6969502048925571,0.5097402597402597,0.3168482622972397,5.483619937328058,20,29.397709131240845,
0.505,16,2987,378,378,0.2,0.01831120610077128,1810,0.1929917472437168,349.3150625111274,-0.011959055901900644,0.35327918302502503,0.683982683982684,0.32043825120811126,4.6668406581310755,20,24.90090298652649,
0.505,17,2987,376,376,0.2,0.041687897058150576,2461,0.1492564890570333,367.3202195693589,0.025894360125547165,0.6569009094364607,0.7954545454545454,0.08052348624564006,3.9736158437780165,20,24.386343479156494,
0.505,18,2987,401,401,0.4,-0.002056740693041665,2871,0.20366128662026203,584.7115538867723,0.00863200221730088,0.48908174160058626,0.6948051948051948,-0.016794644314068945,5.995401912035456,20,26.70435667037964,
0.505,19,2987,395,395,0.2,0.003412874681460861,2348,0.18659158989903218,438.11705308292755,0.011672184480901371,0.5215217123992457,0.8008658008658008,0.12980898887997816,5.7002048873275974,20,27.586888790130615,
0.505,20,2987,339,339,0.5,0.012919298191574127,2741,0.19546277934919745,535.7634781961502,0.024837251719349716,0.6629994825014205,0.3300865800865801,0.04917827018897276,4.6020784904311265,20,23.75208044052124,
0.505,21,2987,376,376,0.6000000000000001,0.021770772877057223,2419,0.21303108270293486,515.3221890583994,-0.00298400634538806,0.428961206889658,0.737012987012987,-0.04044881400386793,6.016761558349617,20,25.99499249458313,
0.505,22,2987,456,456,0.30000000000000004,0.04886030990770804,907,0.19107185845366204,173.30217561747148,-0.009384354691152803,0.36959602257356927,0.3777056277056277,-0.0011128504570839964,2.8344088573418746,20,29.753337860107422,
0.505,23,2987,404,404,0.0,-0.00267851618527545,2080,0.15631512317656948,325.1354562072645,0.06347432020763073,0.810734037697874,0.5692640692640693,0.18602487714558166,4.831880487860924,20,26.23945164680481,
0.505,24,2987,382,382,0.1,0.0052023459983397595,2576,0.19341919835154744,498.2478549535862,0.006161544157282799,0.48472200551384853,0.9718614718614719,-0.01768133661887606,6.340981839910107,20,26.111761569976807,
0.505,25,2987,392,392,0.1,0.02756732089339634,1859,0.1713191981927224,318.48238944027094,0.016030279794462164,0.48412782899989487,0.2305194805194805,-0.25801900076784545,4.062493429671006,20,26.913530111312866,
0.505,26,2987,374,374,0.5,0.012742123914380036,2138,0.19288239966559204,412.3825704850358,-0.020634148138499737,0.29894229600978295,0.54004329004329,-0.0013165368063275576,4.294708188290711,20,25.537806749343872,
0.505,27,2987,379,379,0.4,0.03336825914050553,1038,0.2024812018004468,210.17548746886376,0.0005875747018116628,0.45292542509609635,0.698051948051948,-0.0355973541522755,2.922890725868695,20,26.013487577438354,
0.505,28,2987,357,357,0.2,0.006299339671669445,2560,0.19655174826967423,503.17247557036603,0.010839509101536514,0.5250212523399503,0.5075757575757576,-0.01901822729844436,6.015676360140558,20,25.27708148956299,
0.505,29,2987,311,311,0.5,0.003372679697402519,2809,0.2374386380769157,666.9651343580562,0.02729527985244002,0.7229210995996462,0.16666666666666666,0.056763930557503874,5.269431119540149,20,23.369060277938843,
0.505,30,2987,341,341,0.5,-0.005384461004453862,2808,0.19825565284426316,556.7018731866909,-0.036689293824743646,0.1572052217246665,0.44696969696969696,0.07962776037772837,5.706787898295961,20,23.66231393814087,
0.505,31,2987,361,361,0.0,0.009685533424950488,1339,0.21160670073440685,283.3413722833708,0.022252174306495683,0.5745650822945542,0.6082251082251082,0.12717453418993505,4.234572719219789,20,25.000560998916626,
0.505,32,2987,357,357,0.30000000000000004,0.05098245354350836,2206,0.18276398893596466,403.177359592738,0.028799424608294395,0.5169609189027612,0.1266233766233766,-0.0616090286074601,2.932435955839101,20,25.25373077392578,
0.505,33,2987,345,345,0.5,0.031826020514236796,2434,0.25195896753883223,613.2681269895177,0.03962866119369176,0.7018374528313294,0.14285714285714285,0.33335560592227026,7.756077991437312,20,24.644984245300293,
0.505,34,2987,363,363,0.5,0.01942825919650416,1904,0.2178176966832142,414.72489448483987,-0.0035762606221192436,0.4214166051692647,0.5140692640692641,-0.1548074514013779,3.9764259647290885,20,25.61235761642456,
0.505,35,2987,355,355,0.30000000000000004,0.0114515421161424,2676,0.21466847443969314,574.4528376006189,0.03659841574010807,0.6632128385583607,0.07683982683982683,0.214297577554712,5.015932139742237,20,25.443089246749878,
0.505,36,2987,407,407,0.30000000000000004,-0.017853906076820702,2821,0.1893158953501953,534.0601407829009,-0.0008054516515083963,0.3978347457898657,0.7510822510822511,-0.020411040222982665,5.424289360949116,20,28.913646697998047,
0.505,37,2987,402,402,0.2,0.01251194033031181,2203,0.18223037970440947,401.4535264888141,0.012311663736632025,0.5449297682426292,0.15476190476190477,0.026576278408625486,4.214181545517877,20,26.731829166412354,
0.505,38,2987,321,321,0.30000000000000004,-0.003202411080592842,2431,0.20538231699324802,499.28441261058595,-0.022496721079776336,0.23583954228895637,0.5541125541125541,0.026593243302949373,4.6512956292979375,20,24.841297149658203,
0.505,39,2987,346,346,0.4,0.050752839583499014,2553,0.19983287250449577,510.1733235039777,0.01600687926853753,0.5963089406294282,0.698051948051948,-0.11263304814266412,9.42374920361243,20,23.50574779510498,
0.505,40,2987,436,436,0.5,0.026071017884674738,1696,0.16798487036066703,284.9023401316913,-0.003140706140270779,0.43090866360755453,0.5876623376623377,0.005814198338745816,4.350394531104158,20,26.445086002349854,
0.505,41,2987,363,363,0.2,0.011584304181988095,373,0.16403306741807752,61.184334146942916,0.023465614884524935,0.5103218485352902,0.17965367965367965,0.18518626531418986,3.0229704869273983,20,23.8556170463562,
0.505,42,2987,324,324,0.0,-0.00926651741836386,2642,0.2085982787586064,551.1166524802381,0.0308283189022385,0.6450198094170021,0.36038961038961037,0.05225056763902678,6.582427330792984,20,22.556842803955078,
0.505,43,2987,393,393,0.2,0.04099563111325191,2537,0.17819205128306248,452.07323410512953,-0.026437679054253357,0.22410674171605643,0.4751082251082251,-0.03726844846966346,6.50700564147973,20,24.223170042037964,
0.505,44,2987,381,381,0.30000000000000004,0.008737291930612658,2430,0.2118774897385264,514.8623000646191,0.0010411629826666934,0.4184388427765238,0.1764069264069264,-0.02403826699535529,5.309495953115139,20,24.513420581817627,
0.505,45,2987,314,314,0.6000000000000001,0.029643594745054097,2612,0.22385949481682557,584.7210004615484,0.055164143149827496,0.8640125412019254,0.05735930735930736,0.1707133907651899,5.09814902502454,20,22.075788259506226,
0.505,46,2987,364,364,0.0,0.018081334029513615,2520,0.21001388891615827,529.2350000687188,0.025471924816076883,0.6755814957719725,0.8235930735930735,0.1682151586026767,5.499465000539321,20,24.062971115112305,
0.505,47,2987,413,413,0.4,-0.003240435669895557,2751,0.21014110449128623,578.0981784555285,0.0223634749017378,0.6485995624130803,0.474025974025974,-0.07824145556061934,4.255140924123554,20,26.46910858154297,
0.505,48,2987,325,325,0.0,-0.007604642010431474,1526,0.22159399716365494,338.15243967173745,0.02831702500193053,0.6021404871791025,0.4880952380952381,0.05866334514835327,4.905069010028562,20,23.566229820251465,
0.505,49,2987,375,375,0.4,-0.0053405107555122315,2185,0.24332703011515588,531.6695608016156,-0.00505880453499854,0.41115307122035594,0.7554112554112554,-0.3121942760536292,4.809255332369062,20,26.37053894996643,
0.51,0,2987,470,470,0.5,0.01098461954975782,2832,0.14756521783126408,417.9046968981399,0.038754196845622334,0.772203075304069,0.7510822510822511,0.08225990366411531,3.5224822654257055,20,28.56753444671631,
0.51,1,2987,439,439,0.2,0.032779992251620566,1990,0.14877940511881413,296.0710161864401,0.05333502915172424,0.7231009918718312,0.5194805194805194,0.07165465301355806,5.386390385677908,20,27.68394422531128,
0.51,2,2987,419,419,0.30000000000000004,0.036675805288586494,2304,0.20041216873768256,461.7496367716206,-0.005925617653199379,0.4096222570259608,0.6060606060606061,0.17213310100618567,3.7494344744830714,20,28.797476530075073,
0.51,3,2987,369,369,0.5,-0.006569797574222263,2802,0.21805516884573048,610.9905831057368,0.02913157901087402,0.7110291157492818,0.38961038961038963,0.18235383202884975,4.820343156068965,20,24.755454540252686,
0.51,4,2987,401,401,0.1,0.012592658790973026,1475,0.1916101487175138,282.62496935833286,0.01412958439164047,0.5481003027246455,0.2857142857142857,0.15885526999606245,6.005358931599713,20,27.20293164253235,
0.51,5,2987,366,366,0.4,0.04646038346528666,1189,0.23504348806352518,279.46670730753146,0.019328965656255127,0.5919527823867603,0.6883116883116883,-0.023638495372376882,3.1885659226240177,20,45.736533880233765,
0.51,6,2987,404,404,0.30000000000000004,-0.00956052918600946,1871,0.20111817024744216,376.2920965329643,-0.018440392721312107,0.3239790148226517,0.7716450216450217,-0.015986847083472363,4.297610506424321,20,37.642584562301636,
0.51,7,2987,381,381,0.30000000000000004,0.026857413217686768,1691,0.21470802536522965,363.0712708926033,0.013298318906257095,0.5402861375632493,0.2554112554112554,-0.0025145670260279087,2.739336469918602,20,29.542149543762207,
0.51,8,2987,381,381,0.30000000000000004,0.039667800022326345,2479,0.2113568151674856,523.9535448001968,-0.003145076166437911,0.39374919963178023,0.6439393939393939,0.2987001364285811,8.137772569520845,20,29.02893900871277,
0.51,9,2987,310,310,0.6000000000000001,0.05216129080256282,2794,0.25218567783156304,704.6067838613872,0.04358130347258831,0.8424530936318326,0.6233766233766234,0.04775171416781718,4.232743483796459,20,26.383453607559204,
0.51,10,2987,427,427,0.2,0.02673504411237491,974,0.19500718710762957,189.9370002428312,-0.010561144620232815,0.40185793177102513,0.5714285714285714,-0.004054665345411631,2.831048803187655,20,30.330743074417114,
0.51,11,2987,407,407,0.1,0.022956033985809955,2672,0.1523484332464445,407.0750136344997,0.014622236876334226,0.5514577005022663,0.7727272727272727,0.3429680218976589,11.215727414156266,20,29.31244206428528,
0.51,12,2987,378,378,0.30000000000000004,0.03134819568526947,1049,0.16970721134420125,178.02286470006712,0.03653440983734061,0.583167218385652,0.08766233766233766,0.07234360736891679,4.137559065290381,20,28.86307454109192,
0.51,13,2987,404,404,0.2,0.054519564886728274,482,0.17212560475590732,82.96454149234734,0.023383982271060796,0.5448476312762321,0.7142857142857143,0.1305594225916747,2.9068080164990366,20,30.397700786590576,
0.51,14,2987,469,469,0.5,0.011344242717232065,2097,0.16823006752289268,352.77845159550594,-0.015147973493499329,0.33816511200612537,0.08982683982683982,-0.047425886250132325,4.905514096121866,20,33.26967787742615,
0.51,15,2987,453,453,0.30000000000000004,0.04780028093797208,2317,0.19018421809946864,440.6568333364688,0.023674283994639042,0.6315959702740374,0.8874458874458875,0.0073573354990449855,5.976213370613708,20,32.78093600273132,
0.51,16,2987,381,381,0.2,0.0039194831560669646,1206,0.18228275276160075,219.8329998304905,-0.014172730402590752,0.3779716571187672,0.6764069264069265,-0.10605590681217364,5.148577157955964,20,29.024813175201416,
0.51,17,2987,407,407,0.2,0.04446816775388755,2060,0.14170225390009397,291.90664303419356,0.012404635176468103,0.5500373107954643,0.6147186147186147,0.178070513311708,4.449818137121325,20,32.48082661628723,
0.51,18,2987,403,403,0.4,0.03392517661756296,2868,0.20638991497304982,591.9262761427069,0.0035065066541034467,0.42264371941570034,0.8300865800865801,-0.06766414519935673,4.957078034874753,20,32.19306468963623,
0.51,19,2987,413,413,0.2,0.025343261975266082,1449,0.18623532908628332,269.8549918460245,0.011726169116547495,0.5034797727382432,0.45454545454545453,-0.033186431972605054,3.1188951545998447,20,27.954099416732788,
0.51,20,2987,348,348,0.5,0.018706067761496324,2753,0.185725326257782,511.3018231876738,0.016705194746207686,0.5985275262261021,0.5844155844155844,0.08391403453501964,4.627850126999579,20,26.96642518043518,
0.51,21,2987,397,397,0.7000000000000001,0.03668161372411688,2380,0.18147059892329417,431.90002543744015,0.010045450750892259,0.4866726456625781,0.5854978354978355,-0.16554498361538575,5.834817381506529,20,29.979393482208252,
0.51,22,2987,476,476,0.30000000000000004,0.05851886100069387,1918,0.17596769122870304,337.50603177665243,-0.030446617634237106,0.20005384270593468,0.7132034632034632,-0.22805974256083797,5.6278750790904795,20,36.635475158691406,
0.51,23,2987,407,407,0.0,0.03149230996696154,1567,0.15168108816998943,237.68426516237344,0.032398986258317504,0.6215217560197449,0.4318181818181818,-0.16768337735313413,4.491940669190248,20,29.603200435638428,
0.51,24,2987,386,386,0.1,0.010906458763460972,1636,0.18629556345019022,304.7795418045112,0.0026867624348888837,0.4559306837290673,0.44047619047619047,0.03522061881930575,2.962621666356003,20,30.3593327999115,
0.51,25,2987,416,416,0.1,0.05285346299746713,1630,0.15102787620234767,246.1754382098267,-0.00514203107834112,0.4168375162733511,0.3235930735930736,-0.004548730196809175,4.085635362179017,20,29.178005933761597,
0.51,26,2987,391,391,0.5,0.0538938718028902,2767,0.17051412014663409,471.8125704457365,-0.02069177402601942,0.2637330651632711,0.4989177489177489,-0.0664958567508483,4.480595622085783,20,29.356369733810425,
0.51,27,2987,422,422,0.5,0.0317853738683269,1584,0.1831117777070615,290.0490558879854,0.009953173261802178,0.5020371515508006,0.49567099567099565,0.10969579290511633,3.2378230602001543,20,31.245894193649292,
0.51,28,2987,385,385,0.2,0.01090180961151165,1681,0.1758843342349415,295.6615658489366,0.010067391924161565,0.5078542907274158,0.8593073593073594,0.3041792983879432,5.071172333331685,20,29.463823556900024,
