S,n_combinations,mean_pbo,std_pbo,min_pbo,max_pbo,p05_p95_width,elapsed_sec
4,6,0.49944444444444436,0.2665894304721957,0.0,1.0,0.8333333333333334,2.95992374420166
6,20,0.5035000000000001,0.2246425998310714,0.0,1.0,0.7,7.22534966468811
8,70,0.49399999999999994,0.21739122517232878,0.0,0.9857142857142858,0.7,26.943453550338745
10,252,0.49543650793650795,0.20662113000839388,0.01984126984126984,0.9642857142857143,0.6668650793650794,95.45068120956421
12,924,0.4925252525252525,0.20511760323895586,0.025974025974025976,0.9664502164502164,0.6450757575757577,386.3753409385681
