edge_strength,seed,roll_window,raw_signal_corr,n_full,corr_full,n_nonoverlap,corr_nonoverlap,corr_ratio,wall_clock_sec,error
0.5,0,20,0.15158889953887422,975,0.011516182225265454,49,-0.11142813728321183,-9.675787956771703,8.962480306625366,
0.5,1,20,0.2119968876790868,975,0.07252809179865026,49,-0.12903905812700128,-1.779159701116012,8.980968952178955,
0.5,2,20,0.11381599830144631,975,-0.06152510039743746,49,0.09910597007446112,-1.6108217529798443,9.056567668914795,
0.5,3,20,0.16067389751515368,975,-0.014566005920215789,49,-0.10858451623497319,7.454652759976673,9.106233596801758,
0.5,4,20,0.1565182860823525,975,0.06443017358663218,49,0.4516338882375675,7.00966430938301,8.821266174316406,
0.75,0,20,0.23463989911853186,976,0.1000885680128777,49,0.256993057251484,2.5676564502193546,10.521865367889404,
0.75,1,20,0.3033260543880817,976,0.06133474028253903,49,0.11842259130574216,1.9307588286870936,9.985026359558105,
0.75,2,20,0.23916265038560977,976,0.06153848713616987,49,-0.06446558844484838,-1.0475653764806006,10.590392827987671,
0.75,3,20,0.25302722528515215,976,-0.01994520357153836,49,0.020475912938694846,-1.026608370541467,9.75075101852417,
0.75,4,20,0.31772534716679024,975,0.03800543089486906,49,-0.23350536240036557,-6.1439998679738705,9.646315813064575,
1.0,0,20,0.3069223504988911,975,0.03896701197279047,49,0.3396281089078851,8.715785268448027,8.86537504196167,
1.0,1,20,0.3670284621354436,975,0.0388471539538611,49,0.026974810318944137,0.6943831805795146,9.116142988204956,
1.0,2,20,0.27315878833799573,975,-0.007534968940737794,49,-0.026281533838573918,3.4879418940246536,9.155403852462769,
1.0,3,20,0.32526490358539617,975,-0.03920694488300047,49,-0.22123587663322644,5.642772659115067,8.970881938934326,
1.0,4,20,0.31263210187755935,975,-0.017018238123991936,49,0.11073888449600988,-6.507071042794533,9.730319499969482,
1.5,0,20,0.38488558999457884,977,-0.09555248931673906,49,0.033675247944871506,-0.3524266943296915,13.165522336959839,
1.5,1,20,0.3440133149765519,977,0.02530851880426834,49,0.04951403235767872,1.956417629202704,13.285700798034668,
1.5,2,20,0.4186452783755557,977,0.013974049904680031,49,0.013998333061298378,1.0017377322096306,13.410009384155273,
1.5,3,20,0.3837082730924907,977,0.05894809796284437,49,0.1724011101098306,2.9246254937436134,13.65406584739685,
1.5,4,20,0.39922982065813556,977,-0.03137336007635092,49,-0.014233641064416172,0.4536855800518931,13.25752592086792,
2.0,0,20,0.4809567148063773,976,0.289433970784129,49,0.49611547380750776,1.714088613936509,10.913107633590698,
2.0,1,20,0.41559491492309514,976,-0.32663792304798855,49,0.012057314284766559,-0.03691339380392502,10.968767642974854,
2.0,2,20,0.45239880122852205,976,0.1373705012626105,49,0.6858509308990451,4.992708948392838,11.099196910858154,
2.0,3,20,0.44838542716911367,976,-0.04437205276447656,49,-0.02827532814102957,0.6372328161402141,11.027687311172485,
2.0,4,20,0.46998137681885355,975,0.03031282992470851,49,-0.010229563677325193,-0.3374664689088266,10.7323317527771,
