roll,t_stat,t_p_value,n_active,mean_pnl
1,-1.9472568674463104,0.051549541852184744,6132,-1.6677879238784775e-05
2,-1.1990894448146958,0.23054805850451965,5177,-1.3245269566442477e-05
3,-1.153129777104709,0.24890754392836856,5467,-1.2008922782443087e-05
4,-0.897189884960628,0.36966195109275013,4871,-8.061555293930712e-06
5,-2.5231145957969323,0.011656541078850946,6279,-1.7213410590827576e-05
6,-0.07293721728329737,0.9418595699045018,4178,-8.87581996222736e-07
7,1.0460835023191604,0.2955742072063965,4889,1.0824306932606833e-05
8,-2.3396752257653195,0.019337912063137175,5235,-1.734341008234611e-05
9,-0.8044264030428601,0.4212037580941983,3609,-1.1820349927449012e-05
10,-0.5938462788054918,0.5526430335216155,4781,-6.650809964164773e-06
11,-1.2440762293410288,0.21354106657085836,4193,-1.227014919709328e-05
12,-1.6771637923531288,0.09358460455163975,4216,-1.924037950153415e-05
13,-0.24331801639730008,0.8077684705189119,5298,-2.7355452178992834e-06
14,-1.6796610704725132,0.0930796938941103,5538,-1.5446898142754732e-05
15,-0.11357663788023828,0.9095784285380208,4542,-1.317491611043214e-06
16,-1.3256140219112909,0.1850369031468333,4369,-1.8552986162698673e-05
17,-2.000973453758398,0.045441141660051976,5880,-1.1103208252583869e-05
18,-1.0197272139749913,0.3079073364214029,4986,-7.144104444511377e-06
19,-0.5130503141811996,0.6079398998932692,4768,-4.487811060043914e-06
20,-1.7841645984545988,0.07446396816528145,4522,-1.5610617428800586e-05
21,-0.9779068308569908,0.3281748617428635,4345,-8.547153497341263e-06
22,-0.2557114115253651,0.7981856630783872,4391,-1.9795138304934257e-06
23,-0.546284710467951,0.5848952795741034,4869,-4.66500428439183e-06
24,-1.2911531672313254,0.19671505828960023,4629,-1.7395311164730733e-05
25,0.4863190535210898,0.6267625098125051,4949,4.651665691066765e-06
26,-1.8747519297552673,0.06089508382017228,4270,-2.2070781038978014e-05
27,-1.3792193162115893,0.16788797885176177,5071,-1.4365768121240001e-05
28,-1.688804932573097,0.0913196113502206,4966,-1.5563603940930377e-05
29,0.543325239774739,0.5869313420546622,4759,4.856836375054961e-06
30,-0.9170676436241536,0.3591482254937559,5391,-7.215062430998073e-06
31,0.009904307802886725,0.9920980720105494,4521,1.3045236237641726e-07
32,1.158171735228805,0.24686826927252192,3723,1.2224802539796846e-05
33,-0.9973099405994642,0.3186557093806206,5799,-6.9656552189868315e-06
34,-1.1222385645340793,0.26181425788446444,5062,-1.204311507133871e-05
35,-0.6457179578978137,0.5184958850615438,4377,-5.8857700133969484e-06
36,-0.6362961563499582,0.5246093730367938,5610,-3.682957117677001e-06
37,-0.576898907608436,0.5640348359256904,4795,-6.133083977041134e-06
38,-2.087302184145497,0.03691274088671026,4866,-2.379901106213099e-05
39,-0.17020656899032643,0.8648551872165564,4591,-1.572392683036905e-06
40,0.7669118626101372,0.44317394742031513,4524,8.645923149969954e-06
41,-0.8290606818109779,0.40711166780695707,4758,-9.734775202059559e-06
42,-0.7652052613388859,0.4441812375458163,5660,-7.796598640638664e-06
43,0.4631970910284984,0.6432484466499249,3978,4.99236812950941e-06
44,-0.5619857915945261,0.5741469398183536,5931,-3.2454567203965006e-06
45,-0.9826163243985383,0.3258422515802275,5175,-7.488519619569225e-06
46,-1.9974696904664766,0.04582877763897497,4955,-2.334943372864194e-05
47,0.20013380963085248,0.8413838126084332,5165,2.2975643288375907e-06
48,-2.579098407529504,0.009934659078059793,4916,-2.3370973215542455e-05
49,-0.580806036696899,0.5613954688268343,5391,-6.358594929993035e-06
50,-1.3270879558009767,0.18453902072967576,5099,-8.548653939960139e-06
51,-1.1954365755899379,0.23196450778870958,5906,-9.371848269462787e-06
52,0.7015673459349308,0.48298525328277675,4507,4.957158685949143e-06
53,-2.401129744762948,0.01638147012050184,4915,-2.921105596289618e-05
54,1.563178588946706,0.11806476837008284,5842,1.7319058470123032e-05
55,1.3776829352120243,0.1683683969679357,4589,1.1695009162291254e-05
56,-1.010967893861427,0.31208809022696915,4346,-1.2124356283267396e-05
57,-1.865891117612252,0.06214533513934639,3298,-2.6545549870085914e-05
