test_window,winner_C,winner_step,pred_frac_class1,mean_prob,mean_pos,mean_bar_ret,sign_agree,fold_pnl_mean,n_bars
1,0.01,0.01,0.060836501901140684,0.5739686837339142,-0.11537993920972647,0.00018750870613739904,OPPOSITE (betting AGAINST real drift),-2.1025508254080146e-05,986
2,1.0,0.2,0.8663366336633663,0.5700268742800995,0.11854103343465046,1.6134278982939826e-05,SAME (betting WITH real drift),1.2333372313953575e-05,986
3,1.0,0.05,0.6,0.545676244372458,0.030862944162436554,2.779238766410503e-05,SAME (betting WITH real drift),1.4177035531533276e-06,984
4,1.0,0.05,0.6676737160120846,0.5531136560604544,0.052134146341463426,-0.0002507870681841114,OPPOSITE (betting AGAINST real drift),-2.3571466029043638e-05,983
5,1.0,0.02,0.26229508196721313,0.5386399520740018,-0.037581300813008124,0.00013083846656410493,OPPOSITE (betting AGAINST real drift),5.7723632841002824e-08,983
6,1.0,0.1,0.691358024691358,0.5581315608524292,0.04149797570850203,1.3791388278209281e-05,SAME (betting WITH real drift),-5.7448147873729384e-06,987
7,1.0,0.2,0.18441558441558442,0.5756848610139795,-0.08060606060606061,7.583506990258872e-05,OPPOSITE (betting AGAINST real drift),-1.1993704635480115e-05,989
8,0.01,0.01,0.14908256880733944,0.5331765062609239,-0.04213131313131313,-0.0002935136350184949,SAME (betting WITH real drift),2.4023713805729528e-05,989
