config,lookback_hours,target_bars,n_raw_trades_in_window,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,notes
lb720_tb1000,720,1000,146690,881,225,224,758,0.13683351906825234,103.71980745373527,0.06345169609105358,0.15800865800865802,0.7010518967337658,
lb720_tb1500,720,1500,146690,1266,261,260,1018,0.16137945425290978,164.28428442946216,0.05985089667052231,0.5335497835497836,0.7551430092951541,
lb720_tb2000,720,2000,146690,1589,295,295,1284,0.16429346680637744,210.95281137938863,0.047625076232403266,0.79004329004329,0.7383540449955865,
lb1440_tb1000,1440,1000,249373,936,300,299,852,0.17325623162382664,147.6143093435003,0.06327739109469406,0.7835497835497836,0.7033690746888751,
lb1440_tb1500,1440,1500,249373,1365,350,349,1206,0.17066465030098013,205.82156826298203,0.06865804418577329,0.8809523809523809,0.811145049180882,
lb1440_tb2000,1440,2000,249373,1783,425,423,1414,0.1698565313223473,240.17713528979908,0.06335677237798311,0.8333333333333334,0.7983844731816871,
lb2160_tb1000,2160,1000,343038,964,409,402,691,0.15831130391591938,109.3931110059003,-0.04161334019873269,0.288961038961039,0.2696359019863639,
lb2160_tb1500,2160,1500,343038,1416,531,527,1098,0.1485616718802865,163.12071572455457,-0.018691963193918817,0.19480519480519481,0.3404239392961238,
lb2160_tb2000,2160,2000,343038,1858,606,602,1724,0.14837795494803657,255.80359433041505,-0.020646663327230193,0.05411255411255411,0.26039471788720114,
