window_label,T_effective,bars_per_day,annual_sharpe,sim_true_sharpe,mean_dsr,mean_pbo,mean_confidence,std_confidence,frac_above_threshold,zero_exposure_threshold,n_reps
single_window_tb2000,197.3,65.27,1.0,0.00647883263922202,0.49814296490392385,0.4813347763347763,0.27692443308042014,0.17433478252174656,0.016666666666666666,0.7234804744218153,300
single_window_tb2000,197.3,65.27,2.0,0.01295766527844404,0.5005240985770963,0.4960894660894661,0.2670091910352529,0.16327763068944176,0.01,0.7234804744218153,300
single_window_tb2000,197.3,65.27,3.0,0.01943649791766606,0.490171401046234,0.48937950937950936,0.26183142750832133,0.14244661872276101,0.0033333333333333335,0.7234804744218153,300
pooled_8window_tb40000,4004.48,157.85,1.0,0.00416611519920029,0.5010806246440498,0.511010101010101,0.2612146385695258,0.16258350961823745,0.006666666666666667,0.7234804744218153,300
pooled_8window_tb40000,4004.48,157.85,2.0,0.00833223039840058,0.5111547905689168,0.49393939393939407,0.2785549009487694,0.17544306670478468,0.03,0.7234804744218153,300
pooled_8window_tb40000,4004.48,157.85,3.0,0.012498345597600867,0.5153717671656466,0.4790873015873016,0.2874019639173462,0.1787804979780297,0.023333333333333334,0.7234804744218153,300
