target_bars,n_bars,n_events,n_events_enriched,T_raw,tw_mean,T_effective,best_sharpe,pbo,dsr,skew,kurtosis,notes
1000,988,239,239,455,0.1766671302323747,80.3835442557305,0.013546786669919054,0.7662337662337663,0.4550416916163524,-0.021439118821089922,5.308349549134119,
2000,1956,305,305,643,0.19835274956593182,127.54081797089417,0.044074959551100606,0.7002164502164502,0.5863331397552793,0.15374443829724346,5.496261591436849,
3000,2906,351,351,2016,0.21819393545448307,439.87897387623786,0.022633895154139178,0.5032467532467533,0.5030200006403474,-0.3524360508151458,9.580961421968677,
4000,3834,388,380,1351,0.233682172074926,315.70461447322504,0.028672107402229797,0.24134199134199133,0.5878016465443497,0.21009794519222813,5.55016608806346,
5000,4747,394,391,4031,0.2775939744082135,1118.9813108395085,0.021949285527599175,0.4318181818181818,0.5522362297157122,-0.4602469717181798,14.607264669086488,
