fold,n_train,n_test,train_majority_class,train_majority_pct,test_majority_class,test_majority_pct,trivial_baseline_accuracy
1,178,75,-1.0,0.6853932584269663,-1.0,0.8266666666666667,0.8266666666666667
2,168,75,-1.0,0.8214285714285714,1.0,0.64,0.36
3,148,75,-1.0,0.581081081081081,-1.0,0.8,0.8
4,218,74,-1.0,0.6559633027522935,-1.0,0.7837837837837838,0.7837837837837838
