edge_strength,seed,n_features,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,oos_accuracy,prob_label_corr,skew,kurtosis,n_trials,wall_clock_sec,error
0.5,0,4,299838,996,996,465,462,0.2,0.15158889953887422,638,0.1461588592004331,93.24935216987632,0.02344471305911193,0.5064264852789951,0.43398268398268397,0.5497835497835498,0.04684869567869257,0.17990075601157698,9.328132983129674,20,23.68980121612549,
0.5,1,4,299857,996,996,464,462,0.4,0.2119968876790868,926,0.13565648106171477,125.61790146314787,0.038225401147987274,0.6127611113297735,0.5746753246753247,0.5606060606060606,-0.08270723224118616,0.07425441521121752,4.257634989370886,20,28.75921320915222,
0.5,2,4,299829,996,996,446,444,0.2,0.11381599830144631,589,0.16214992464976616,95.50630561871226,0.008425260631224046,0.45615423178248593,0.5367965367965368,0.5472972972972973,0.16177165937447827,-0.5983980647284664,11.010122625725174,20,31.26502752304077,
0.5,3,4,299753,996,996,481,481,0.4,0.16067389751515368,824,0.14804703311302694,121.9907552851342,-0.05662892912127109,0.17117435417474514,0.5584415584415584,0.553014553014553,0.3871537752594609,-0.5568125455433393,7.032197082361485,20,30.050005674362183,
0.5,4,4,299828,996,996,466,465,0.5,0.1565182860823525,914,0.14605426949439926,133.4936023178809,0.002656430763731541,0.27403409204168994,0.33116883116883117,0.5053763440860215,-0.03138393461400211,0.17593529170378094,7.427384230986636,20,26.658819437026978,
0.75,0,4,399813,997,997,582,580,0.2,0.23463989911853186,90,0.13174645205909227,11.857180685318305,0.022927737750970754,0.4973575962252428,0.7207792207792207,0.49137931034482757,-0.08644514654637243,-0.18753151098718285,3.4536994359093347,20,30.029839038848877,
0.75,1,4,399761,997,997,580,573,0.5,0.3033260543880817,948,0.13200939809924908,125.14490939808813,0.07404589947960631,0.7547061203208907,0.5335497835497836,0.6474694589877836,-0.04267621473002703,0.002807025892699666,4.795195416450572,20,29.92970895767212,
0.75,2,4,399830,997,997,571,567,0.0,0.23916265038560977,614,0.1219091442185182,74.85221455017017,0.056535498035047996,0.6058970239137358,0.36796536796536794,0.5026455026455027,0.021940587081673783,0.20583897869959425,7.599538306644516,20,30.509831428527832,
0.75,3,4,399766,997,997,571,568,0.4,0.25302722528515215,773,0.14133322853198496,109.25058565522437,-0.004300985148909299,0.40649477062178985,0.525974025974026,0.46830985915492956,-0.18869857267351373,0.4990471711410514,7.592121480194585,20,29.903029918670654,
0.75,4,4,399855,997,996,542,541,0.5,0.31772534716679024,934,0.15359676975896136,143.4593829548699,0.062118233898893,0.5233029090787353,0.33874458874458874,0.6561922365988909,-0.15085471499014946,-0.6878973857659179,7.193399010900011,20,28.50346064567566,
1.0,0,4,299838,996,996,546,542,0.2,0.3069223504988911,745,0.11903224792251278,88.67902470227202,-0.04616578588463509,0.2838550867696717,0.8896103896103896,0.492619926199262,0.11223113570326379,-0.19006245943493916,7.337768046406563,20,28.045344591140747,
1.0,1,4,299857,996,996,565,559,0.30000000000000004,0.3670284621354436,830,0.1069814750564875,88.79462429688462,-0.009955544800859705,0.36199016871524176,0.06060606060606061,0.5581395348837209,-0.3031112382410272,-0.48904743413775026,6.006116826291803,20,32.581279277801514,
1.0,2,4,299829,996,996,569,567,0.30000000000000004,0.27315878833799573,817,0.12286401226829805,100.3798980231995,0.03883139741078731,0.5498191148864183,0.525974025974026,0.5908289241622575,0.09980009350836926,0.06849045273019727,5.700733082592199,20,33.32620811462402,
1.0,3,4,299753,996,996,569,568,0.30000000000000004,0.32526490358539617,705,0.12743212958509417,89.83965135749139,-0.10086609875486328,0.12964918731983516,0.39285714285714285,0.33274647887323944,-0.12965499212584328,-0.5280474836654336,6.340428488753045,20,34.052117586135864,
1.0,4,4,299828,996,996,582,582,0.6000000000000001,0.31263210187755935,733,0.10894913712372738,79.85971751169217,0.04887413255861672,0.4894614018349911,0.49242424242424243,0.5257731958762887,0.10781017269076758,-0.06825609683168704,7.132229240186779,20,32.95525240898132,
1.5,0,4,799394,998,998,768,753,0.30000000000000004,0.38488558999457884,848,0.13935823460974128,118.1757829490606,0.06642153215378789,0.6698340940864698,0.7640692640692641,0.5086321381142098,-0.09096992587224029,1.0687758825768414,12.519894710979878,20,41.69161653518677,
1.5,1,4,799434,998,998,776,762,0.1,0.3440133149765519,805,0.14321037231294717,115.28434971192247,0.022282509410652466,0.5348422744249972,0.6060606060606061,0.5118110236220472,-0.09675419556258605,-0.04605883939447235,4.923866791798269,20,40.568384408950806,
1.5,2,4,799467,998,998,769,757,0.0,0.4186452783755557,918,0.14446569133060583,132.61950464149615,0.144872597434656,0.9143147533931087,0.6764069264069265,0.6406869220607662,0.14603047098977734,-0.4131604457802109,10.123151131369914,20,40.98698878288269,
1.5,3,4,799159,998,998,748,733,0.0,0.3837082730924907,184,0.14431374215909173,26.55372855727288,-0.006962348892707152,0.4104582960601474,0.5086580086580087,0.4488403819918145,-0.06485733777076937,-0.13429680092638027,3.595247154741321,20,40.23477554321289,
1.5,4,4,799541,998,998,770,759,0.2,0.39922982065813556,548,0.1413383328580277,77.45340640619918,0.10623930935566331,0.7808244068452765,0.5248917748917749,0.49538866930171277,0.12257599420315503,0.31744456297961837,4.858074052827959,20,40.2208366394043,
2.0,0,4,499459,997,997,772,766,0.2,0.4809567148063773,960,0.1136041180517944,109.05995332972263,0.05966964387570787,0.6776547675369419,0.7640692640692641,0.5939947780678851,-0.010161598445062743,1.3628104970833037,25.974217312668348,20,39.11847233772278,
2.0,1,4,499952,998,997,745,737,0.6000000000000001,0.41559491492309514,822,0.125818857857182,103.4231011586036,-0.04567919903790451,0.26545921578184795,0.5768398268398268,0.5549525101763908,0.08719370880468015,-0.29946478563719403,9.47428233995948,20,36.96132850646973,
2.0,2,4,499525,997,997,734,711,0.1,0.45239880122852205,618,0.10323439963247931,63.79885897287221,0.03835745446767538,0.5654169612773301,0.36688311688311687,0.5541490857946554,0.16979298781006005,0.10022925477664991,8.164020337526415,20,37.798545837402344,
2.0,3,4,499466,997,997,719,689,0.1,0.44838542716911367,890,0.10104159513643227,89.92701967142472,0.06145058612915124,0.5888947702970195,0.046536796536796536,0.6095791001451378,-0.24724175683117305,0.9717107462043467,29.652001910907817,20,36.74178671836853,
2.0,4,4,499447,997,996,614,601,0.1,0.46998137681885355,831,0.10525676285918957,87.46836993598653,0.021515043544856133,0.5394125237370204,0.2067099567099567,0.5540765391014975,-0.06629360064319094,25.092118663286268,694.7383158507008,20,33.83366942405701,
0.5,5,4,299825,996,996,452,451,0.30000000000000004,0.13418393969444292,603,0.13351935730576223,80.51217245537462,0.0356944658867125,0.5873591230805905,0.6666666666666666,0.5365853658536586,-0.09119068378298349,-0.2856027234473757,5.389352883075146,20,23.78950834274292,
0.5,6,4,299806,996,996,457,456,0.30000000000000004,0.1455394276666769,737,0.13343824726596162,98.34398823501371,0.06441477434957377,0.6998164911598137,0.3430735930735931,0.5635964912280702,0.05100372628176642,0.22122054368047286,5.433696619846783,20,22.87771773338318,
0.5,7,4,299696,996,996,467,465,0.2,0.12913315271245557,915,0.12320267163625842,112.73044454717646,0.041278739474556264,0.6101724490770228,0.7987012987012987,0.5483870967741935,0.06386102140572802,0.0022564163332636873,5.85243343944488,20,23.940224170684814,
0.5,8,4,299745,996,996,461,460,0.4,0.11086266504564424,408,0.15185595366956198,61.95722909718128,-0.02017226169520881,0.37350775831373023,0.461038961038961,0.3630434782608696,0.2588928086281545,0.1776657958182722,3.3791004296693345,20,23.44725799560547,
0.5,9,4,299770,996,996,467,466,0.4,0.1412605881620003,939,0.14197216677368962,133.31186460049454,0.0519581152962912,0.49281392223216797,0.05627705627705628,0.5364806866952789,0.040713095549906514,0.4283643826325803,7.5510933167399426,20,23.194918394088745,
0.5,10,4,299787,996,996,460,458,0.4,0.14206010555986698,437,0.14761517802227522,64.50783279573427,0.005413575171168173,0.43868699424206975,0.4989177489177489,0.42358078602620086,-0.11429373119713951,0.7777903934635525,7.072623800226129,20,23.362494468688965,
0.5,11,4,299777,996,996,477,477,0.4,0.16420861795216765,509,0.14737725984439792,75.01502526079854,0.038521733294883995,0.5678291526328616,0.4653679653679654,0.5450733752620545,0.1100525142419618,-0.025009147324645587,3.2615392341935316,20,23.973368883132935,
0.5,12,4,299802,996,996,446,445,0.30000000000000004,0.19561787080017967,760,0.1459383886123051,110.91317534535187,-0.005914253605741805,0.3861766310658081,0.8376623376623377,0.5078651685393258,0.030914455537265125,-0.7581346426590997,9.671912865192127,20,23.274011850357056,
0.5,13,4,299758,996,996,469,467,0.30000000000000004,0.17347657414553455,839,0.14484928572869912,121.52855072637857,-0.00956224084848394,0.34712858054973705,0.16883116883116883,0.4518201284796574,-0.1933099069986472,-0.1269857746033585,8.582199911633932,20,23.33165144920349,
0.5,14,4,299742,996,996,466,466,0.30000000000000004,0.18627014797359628,642,0.12817910574460042,82.29098588803348,-0.01849970219699479,0.41041484808101625,0.8214285714285714,0.4227467811158798,-0.04327158422852248,0.5696791702004422,8.279895744638173,20,23.536468505859375,
0.75,5,4,399796,997,997,549,544,0.30000000000000004,0.2354687474739567,686,0.14046598615272454,96.35966650076904,-0.03357556430084156,0.28944650175881237,0.5097402597402597,0.4852941176470588,0.030816203465797762,-0.3223638404641758,8.594803550514886,20,26.264321327209473,
0.75,6,4,399749,997,997,548,541,0.2,0.2201446224108095,937,0.13969434953999188,130.89360551897238,0.07373819522748071,0.7161066922227421,0.8073593073593074,0.6118299445471349,-0.15744287972749885,0.21491826084290933,8.270022113607007,20,26.39140748977661,
0.75,7,4,399697,997,997,546,543,0.2,0.21070672812142846,93,0.1378456905171982,12.819649218099432,-0.013372135109270548,0.44145968688671033,0.44264069264069267,0.46408839779005523,0.059313093360079956,0.04396328964863936,3.462380308628777,20,26.463754415512085,
0.75,8,4,399784,997,997,579,575,0.4,0.27523314267617177,856,0.13685030425646577,117.1438604435347,0.055965088356052704,0.6706246868170569,0.4696969696969697,0.5756521739130435,-0.021381757498676872,0.4508717511594145,7.219514482720684,20,27.24692392349243,
