edge_strength,n_trades,n_events,T_effective,tw_mean,wall_clock_sec,error
1.5,500000,745,35.52767793535442,0.11686736162945532,41.48803210258484,
1.5,650000,744,117.42336323928079,0.1215562766452182,41.65690755844116,
1.5,800000,768,105.21546713035467,0.13935823460974128,42.993043184280396,
1.5,1000000,761,69.30294971103989,0.15679400387113096,45.353108644485474,
2.0,500000,772,105.87903802427239,0.1136041180517944,41.64324951171875,
2.0,650000,801,61.086497434331704,0.11291404331669447,43.03234553337097,
2.0,800000,795,100.76522102977201,0.1318916505625288,43.41369009017944,
2.0,1000000,786,138.8341804730139,0.14801085338274403,44.58239698410034,
